baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN12600_c0_g1_i2	48.2526656877655	8.91885866737021	2.13760580460886	4.17235892985526	3.01462247145792e-05	0.00946591456037785
TRINITY_DN12397_c1_g1_i1	58.7190547573498	-9.37327265489031	2.03520484293619	-4.60556719262101	4.11343134896168e-06	0.00247205655789975
TRINITY_DN428_c0_g1_i6	1246.6302746712	1.69991297306759	0.40423033753493	4.20530775456877	2.60727130581079e-05	0.00850171005025533
TRINITY_DN10286_c0_g1_i1	153.545671755928	3.23443283509756	0.864498325003167	3.74139861414504	0.000182999001052019	0.0323221985608129
TRINITY_DN4702_c0_g1_i2	83.3709986365158	9.70060178430317	1.88167167019597	5.15531053475067	2.53210951258538e-07	0.00033026499150306
TRINITY_DN1091_c0_g1_i16	62.1092242735032	-9.32320761878875	2.01121792318968	-4.63560289081089	3.55898639078788e-06	0.00227009470455257
TRINITY_DN32526_c0_g1_i15	61.0893203234088	8.87815160081644	2.02108189276107	4.39277182810622	1.1191456699437e-05	0.00441307766966635
TRINITY_DN30357_c0_g2_i2	36.0191651378039	8.49716527423858	2.32346125105867	3.65711512097173	0.000255069841851316	0.0393178567130083
TRINITY_DN5929_c1_g1_i14	265.812192627543	-4.61708234692935	0.700532534976289	-6.59081786556226	4.37410225206071e-11	1.85418194464853e-07
TRINITY_DN1566_c1_g1_i12	40.1453573715011	8.6353527695918	2.25031669595603	3.83739443657425	0.000124346659263851	0.0249874257370553
TRINITY_DN5253_c0_g1_i1	101.371738576374	6.17390608729447	1.35016043286508	4.57272035012407	4.81432498321002e-06	0.00263328046500997
TRINITY_DN3844_c0_g1_i29	183.12409910989	4.75716589208561	1.27675039197072	3.7259952469979	0.000194546069581797	0.0333204359174642
TRINITY_DN1308_c4_g1_i22	203.230388964188	3.93572169081732	1.06575734343693	3.69288723653091	0.000221722354162497	0.0361492715113394
TRINITY_DN23694_c0_g1_i6	70.6605650202696	-9.72716830563182	1.9487214625086	-4.99156420903273	5.98922657262085e-07	0.000677022171769061
TRINITY_DN23_c1_g1_i10	96.6700057118256	5.37421696188732	1.44363812900164	3.72268981673677	0.000197111619344409	0.0334222461760379
TRINITY_DN2906_c0_g1_i15	53.8521968360973	9.06640808040624	2.07746377907034	4.36417143429738	1.276054808069e-05	0.0049174512103677
TRINITY_DN6902_c0_g1_i18	38.9926367340092	8.50547723995496	2.27078947184084	3.74560360853703	0.000179960555087955	0.0323221985608129
TRINITY_DN98711_c0_g1_i1	1047.76121593989	1.62098254209532	0.408235454606833	3.9707049542193	7.1660279290921e-05	0.0187091838208487
TRINITY_DN9515_c0_g1_i5	76.9601262259457	-5.10411914835536	1.32234526848136	-3.85989897647318	0.000113433910750229	0.0240423173835111
TRINITY_DN276_c0_g1_i3	110.441209807403	10.1139555413013	1.78740798167803	5.65844823620304	1.52747771054515e-08	3.69998743714336e-05
TRINITY_DN23_c2_g1_i9	495.901071077982	1.89250015610677	0.520349925716805	3.63697593210908	0.000275857695724133	0.0417628847205214
TRINITY_DN691_c3_g1_i15	81.4929537045016	8.20989391974122	1.74071043776738	4.71640414259317	2.40049384045218e-06	0.00185012607085033
TRINITY_DN2145_c1_g1_i10	208.904415041104	2.77238751783897	0.747297439325013	3.7098849426583	0.000207353460330573	0.0341348084792738
TRINITY_DN22623_c0_g1_i10	11631.9528953817	-2.14297618984093	0.333283071626721	-6.42989810247871	1.27689514044069e-10	4.33020680026247e-07
TRINITY_DN34022_c0_g1_i2	70.8969098472681	7.29634531469533	1.69593221923216	4.30226233805428	1.69062971504246e-05	0.00597214946838748
TRINITY_DN4655_c0_g1_i16	395.385437203459	3.25841826107797	0.715106575935388	4.55654915047569	5.20008751856348e-06	0.00273066860612899
TRINITY_DN63_c0_g1_i16	99.2159063641929	-5.92167921231191	1.36600619226499	-4.33503101658208	1.45739571757478e-05	0.00537208734504303
TRINITY_DN15422_c0_g1_i9	62.5721118357379	9.17427342390916	2.0045212895676	4.57679021502844	4.72164525035122e-06	0.00263328046500997
TRINITY_DN1838_c0_g1_i1	6493.61900468776	1.11864216728483	0.292247967902892	3.82771581035094	0.000129337966959853	0.0252075237674859
TRINITY_DN1968_c0_g1_i1	1208.47352836915	1.41074487637126	0.385708905416164	3.65753773522322	0.000254649778496135	0.0393178567130083
TRINITY_DN1308_c4_g1_i39	112.813429347101	-5.83128410105302	1.40925761196603	-4.13784112396449	3.50588987387538e-05	0.0108083397638965
TRINITY_DN14959_c1_g1_i22	44.0138807670127	8.78660837339616	2.19185432304082	4.00875563719319	6.10395384388452e-05	0.0174474224618586
TRINITY_DN60570_c0_g1_i6	1451.38090071448	2.9422420694792	0.35805439036386	8.21730482480399	2.08127571792114e-16	1.76450555365355e-12
TRINITY_DN5929_c1_g1_i4	347.858681172636	8.69856007620777	2.28441995112371	3.80777626807581	0.000140222047252917	0.0270182390138688
TRINITY_DN5253_c0_g1_i9	81.3668972896143	-8.56679766745381	1.83590642020917	-4.66624963731962	3.06746995928173e-06	0.00216716752623254
TRINITY_DN14944_c0_g1_i2	75.8533734473538	-5.45664827070702	1.50503909605427	-3.62558573063822	0.000288307227669603	0.0430046749747952
TRINITY_DN13131_c0_g1_i5	35.6202737416534	8.45301133124711	2.33196365557588	3.62484694434899	0.000289132634296217	0.0430046749747952
TRINITY_DN186_c2_g1_i12	122.085240206869	-7.22527483807663	1.32516474820996	-5.45235967666403	4.97057916991863e-08	0.000105351425506425
TRINITY_DN4867_c0_g2_i6	40.435418981152	8.61561537469984	2.24622731987635	3.83559370793073	0.000125261334492197	0.0249874257370553
TRINITY_DN19145_c0_g1_i3	37.9677417710145	8.57245793000394	2.28726054695294	3.7479149200663	0.000178310713194456	0.0323221985608129
TRINITY_DN3668_c0_g1_i7	144.223711058969	3.61639889283689	0.893155863960479	4.04901209157477	5.1434287671827e-05	0.0150365479614396
TRINITY_DN1055_c3_g1_i24	42.0920072081293	8.70823143729658	2.21996634136111	3.92268624755697	8.75671536823835e-05	0.0205205003864697
TRINITY_DN281_c1_g1_i8	34.3339470399172	8.41348352038971	2.35815308658119	3.56782753768858	0.000359953286040202	0.0496208773829079
TRINITY_DN1080_c1_g1_i4	87.0174029269998	5.09874058602208	1.38901843819741	3.67075083080893	0.000241839010337787	0.0383235725167057
TRINITY_DN2024_c13_g1_i1	12299.6740184913	-1.42092792514142	0.292448970140685	-4.85872090593401	1.18146538044258e-06	0.00102801052699783
TRINITY_DN1968_c0_g1_i3	719.684089101986	1.79290819008703	0.462337350583042	3.87792201479296	0.000105352474520709	0.022612108328774
TRINITY_DN15508_c0_g1_i3	38.4535934458151	-8.87719448034426	2.27909181003005	-3.89505786527626	9.81752894850841e-05	0.0219034237961722
TRINITY_DN1688_c1_g1_i2	3880.85828526788	-1.36841013915044	0.321242367336448	-4.25974366487363	2.04661479937346e-05	0.0070821225588115
TRINITY_DN3136_c0_g2_i2	3156.9115546729	1.25831213203169	0.337196098012377	3.73169244676582	0.000190197626162669	0.0332473293733424
TRINITY_DN8852_c2_g2_i1	59.8994636978736	-9.51575201095548	2.0237675825269	-4.70199843752511	2.57627472153713e-06	0.00189927452949494
TRINITY_DN12078_c3_g1_i7	36.7733371791732	-8.68305497787304	2.31214199890447	-3.75541596579589	0.000173053819905861	0.0322450612123492
TRINITY_DN3138_c4_g1_i6	46.0234800425983	8.48705861551743	2.1727373479675	3.90615949206041	9.37746294228391e-05	0.0214870623850494
TRINITY_DN1804_c1_g1_i20	1733.4679370738	-2.69418103422307	0.499442700616132	-5.39437463176342	6.87626173170753e-08	0.000116593893922833
