	Infection_Temp
CrabH_2	infected_elevated
CrabE_2	uninfected_decreased
CrabI_2	infected_elevated
CrabC_17	infected_ambient
CrabB_17	infected_ambient
CrabG_0	infected_elevated
CrabF_2	infected_decreased
CrabE_0	uninfected_decreased
CrabG_2	infected_elevated
CrabC_0	infected_ambient
CrabI_0	infected_elevated
CrabD_0	infected_decreased
CrabD_17	infected_decreased
CrabB_0	infected_ambient
CrabC_2	infected_ambient
CrabB_2	infected_ambient
CrabF_17	infected_decreased
CrabA_0	infected_ambient
CrabH_0	infected_elevated
CrabA_17	infected_ambient
CrabD_2	infected_decreased
CrabE_17	uninfected_decreased
CrabA_2	infected_ambient
CrabF_0	infected_decreased
