Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	380822_cold	380823_cold	380824_warm	380825_warm	380822_cold_log	380823_cold_log	380824_warm_log	380825_warm_log
TRINITY_DN1_c0_g1_i3	1527.9064	-0.930756606	0.159698361	-5.828216379	5.60E-09	1.40E-06	1764	1822	1288	1119	3.24674471	3.260786669	3.110252917	3.049218023
TRINITY_DN10098_c0_g1_i2	427.537748	-0.9505347	0.243773422	-3.899254857	9.65E-05	0.00458247	544	465	347	320	2.736396502	2.668385917	2.541579244	2.506505032
TRINITY_DN1016_c0_g1_i1	157.8116562	-2.180820042	0.425665389	-5.123320091	3.00E-07	3.67E-05	244	219	80	51	2.389166084	2.342422681	1.908485019	1.716003344
TRINITY_DN1020_c0_g1_i1	588.744287	1.374196412	0.381527257	3.601830245	0.000315985	0.009601251	208	377	920	1019	2.320146286	2.5774918	2.96425963	3.008600172
TRINITY_DN10318_c0_g1_i1	1579.369749	-0.560590357	0.166280973	-3.371343975	0.000748024	0.017622738	1778	1592	1566	1356	3.250175948	3.202215776	3.195068996	3.132579848
TRINITY_DN1050_c0_g1_i1	44107.52772	-0.486880976	0.162571027	-2.994881586	0.002745514	0.042490214	49110	43060	39126	44671	4.691178777	4.634084111	4.59247655	4.650035397
TRINITY_DN1052_c2_g2_i1	442.5866713	-3.068472479	0.521495088	-5.883991139	4.00E-09	1.06E-06	1027	394	119	97	3.011993115	2.596597096	2.079181246	1.991226076
TRINITY_DN1060_c0_g1_i2	656.1939769	0.776804956	0.244260376	3.180233188	0.001471566	0.027518281	467	399	873	1017	2.670245853	2.602059991	2.941511433	3.007747778
TRINITY_DN10610_c0_g1_i1	207.8915401	1.132254567	0.329894825	3.43216832	0.000598776	0.015110862	111	122	357	297	2.049218023	2.089905111	2.553883027	2.474216264
TRINITY_DN10672_c0_g1_i1	193.3454688	1.402044952	0.329764892	4.251650141	2.12E-05	0.001322721	99	91	319	322	2	1.963787827	2.505149978	2.509202522
TRINITY_DN107_c0_g1_i9	717.679485	0.963877728	0.31096593	3.099624861	0.001937659	0.03358915	355	514	981	1182	2.551449998	2.711807229	2.992111488	3.072984745
TRINITY_DN1076_c0_g1_i4	280.95763	1.546147829	0.424440981	3.64278639	0.000269703	0.008676885	158	99	585	377	2.201397124	2	2.767897616	2.5774918
TRINITY_DN1082_c0_g1_i2	1387.843384	-0.693441142	0.163692625	-4.236239357	2.27E-05	0.001402196	1483	1585	1281	1146	3.171433901	3.200303183	3.107888025	3.059563418
TRINITY_DN1090_c3_g1_i1	9135.613473	-1.03511966	0.266487245	-3.88431221	0.00010262	0.004835259	13647	8373	7483	6242	4.135069014	3.922932957	3.874133779	3.795393335
TRINITY_DN1100_c1_g1_i1	178.2678428	-1.210123831	0.372387939	-3.249632185	0.001155544	0.023203936	255	191	125	121	2.408239965	2.283301229	2.100370545	2.086359831
TRINITY_DN11036_c5_g1_i1	79037.06239	-1.099609751	0.255977102	-4.295734816	1.74E-05	0.001096745	75089	117373	61818	53334	4.875582104	5.069571905	4.791121976	4.727012299
TRINITY_DN11127_c0_g1_i1	3250.15918	-0.389235512	0.126916536	-3.066862094	0.002163186	0.036100784	3275	3320	3371	3068	3.515343893	3.521268876	3.527887566	3.486996888
TRINITY_DN1116_c0_g1_i5	1230.030168	1.045147467	0.236785616	4.41389761	1.02E-05	0.000690377	616	819	1864	1921	2.790285164	2.913813852	3.270678836	3.283753383
TRINITY_DN1124_c0_g1_i1	642.270188	-1.046953134	0.219615157	-4.767217105	1.87E-06	0.000180281	837	713	512	447	2.923244019	2.853698212	2.710117365	2.651278014
TRINITY_DN113_c0_g2_i7	782.2870504	-0.610586466	0.208714237	-2.9254663	0.003439404	0.049003322	921	772	749	668	2.964730921	2.888179494	2.875061263	2.825426118
TRINITY_DN1136_c0_g1_i1	743.5344657	-0.605267414	0.188527053	-3.210506945	0.001325011	0.02529955	834	772	677	671	2.921686475	2.888179494	2.831229694	2.827369273
TRINITY_DN1139_c0_g1_i1	2290.477477	0.3977094	0.134563897	2.955543124	0.003121191	0.04640658	1824	1714	3035	2919	3.261262869	3.234264124	3.482301767	3.465382851
TRINITY_DN114_c0_g1_i2	402253.8665	-0.622234365	0.111186654	-5.596304452	2.19E-08	4.37E-06	423900	448485	376174	348541	5.627264441	5.651748891	5.57538993	5.542255119
TRINITY_DN1140_c0_g1_i4	421.2745564	0.83066051	0.266385052	3.11826998	0.001819161	0.031998085	293	250	687	549	2.46834733	2.399673721	2.837588438	2.740362689
TRINITY_DN116_c0_g1_i1	933.6962498	-0.733753878	0.248884039	-2.948175711	0.003196553	0.04688278	1058	1029	952	658	3.02489596	3.012837225	2.979092901	2.818885415
