Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	380822_cold	380823_cold	380824_warm	380825_warm	380822_cold_log	380823_cold_log	380824_warm_log	380825_warm_log
TRINITY_DN1167_c0_g1_i3	319.7006333	1.650981625	0.317663507	5.197265627	2.02E-07	2.52E-05	118	158	590	520	2.075546961	2.201397124	2.771587481	2.716837723
TRINITY_DN1167_c0_g1_i7	182.9153681	-4.755119458	0.577717423	-8.230874242	1.86E-16	1.59E-13	411	222	19	11	2.614897216	2.348304863	1.301029996	1.079181246
TRINITY_DN11674_c0_g1_i1	17427.03734	-0.644969244	0.186926446	-3.450390551	0.000559776	0.014627512	19591	18458	13784	17193	4.292078772	4.26620817	4.13940677	4.235376922
TRINITY_DN11721_c0_g1_i1	3243.63594	-1.51926116	0.223914207	-6.785014588	1.16E-11	5.79E-09	4937	3680	1776	2051	3.693551086	3.565965817	3.249687428	3.312177356
TRINITY_DN1191_c0_g1_i1	734.1995231	0.637416866	0.186617893	3.415625672	0.000636357	0.015931432	506	522	1052	992	2.705007959	2.718501689	3.022428371	2.996949248
TRINITY_DN1202_c0_g1_i1	702.1174615	-0.771821743	0.208232505	-3.70653825	0.000210112	0.007616221	821	764	567	617	2.914871818	2.883661435	2.754348336	2.790988475
TRINITY_DN12115_c1_g1_i1	10746.76256	-0.370378252	0.112136482	-3.302923772	0.000956824	0.02067016	11102	10587	11269	10182	4.04544034	4.024813933	4.051923916	4.007875744
TRINITY_DN12172_c0_g1_i1	341.352754	-1.19850922	0.358685876	-3.341389502	0.000833602	0.019059143	485	367	288	188	2.686636269	2.565847819	2.460897843	2.276461804
TRINITY_DN12172_c0_g1_i2	1006.409657	-0.956527935	0.176984998	-5.404570707	6.50E-08	1.02E-05	1253	1125	819	747	3.098297536	3.051538391	2.913813852	2.873901598
TRINITY_DN1232_c0_g1_i1	984.3198447	-0.866813009	0.189734871	-4.568548764	4.91E-06	0.000386687	1198	1078	771	821	3.078819183	3.033021445	2.8876173	2.914871818
TRINITY_DN1232_c0_g1_i2	192.5072888	1.617110556	0.485906253	3.328029937	0.000874625	0.019528933	62	107	401	266	1.799340549	2.033423755	2.604226053	2.426511261
TRINITY_DN1242_c0_g1_i10	308.4360816	1.278813987	0.276086153	4.631938159	3.62E-06	0.000309679	153	169	495	503	2.187520721	2.230448921	2.695481676	2.702430536
TRINITY_DN12443_c0_g1_i1	5973.190028	-0.638360881	0.187847713	-3.398289334	0.000678087	0.016427816	5915	7089	5948	4761	3.772028165	3.850646235	3.774443969	3.677789391
TRINITY_DN1246_c0_g1_i1	1124.126661	0.661020841	0.173312142	3.814048063	0.000136709	0.005777759	748	810	1650	1501	2.874481818	2.909020854	3.217747073	3.176669933
TRINITY_DN1249_c0_g1_i5	1351.905092	0.967327087	0.209477686	4.617804907	3.88E-06	0.000318418	926	713	2144	1949	2.967079734	2.853698212	3.331427297	3.290034611
TRINITY_DN1257_c0_g2_i2	775.1335084	0.994498324	0.181951898	5.465721077	4.61E-08	7.88E-06	464	463	1205	1155	2.667452953	2.666517981	3.081347308	3.062957834
TRINITY_DN1257_c0_g2_i3	608.7829409	2.0145575	0.603329446	3.339067095	0.000840603	0.019068007	92	338	1208	1027	1.968482949	2.530199698	3.082426301	3.011993115
TRINITY_DN1282_c0_g2_i2	2509.208004	0.419346045	0.136996176	3.061005464	0.002205951	0.036293446	1991	1852	3292	3270	3.299289334	3.267875419	3.517591731	3.514680544
TRINITY_DN130_c0_g1_i3	263.8677384	1.377717495	0.409467069	3.36466007	0.00076638	0.017984388	109	153	361	506	2.041392685	2.187520721	2.558708571	2.705007959
TRINITY_DN1301_c0_g1_i2	237.5413769	-1.155957958	0.302999377	-3.815050607	0.000136155	0.005777759	305	282	183	154	2.485721426	2.451786436	2.264817823	2.190331698
TRINITY_DN13046_c3_g1_i1	1848.060442	-0.57155694	0.161988731	-3.528374693	0.00041812	0.011857958	2125	1831	1731	1668	3.32756326	3.262925469	3.238547888	3.222456337
TRINITY_DN1310_c0_g1_i5	168.0410106	1.636513198	0.557546215	2.935206362	0.003333259	0.048131146	54	92	211	366	1.740362689	1.968482949	2.326335861	2.564666064
TRINITY_DN13179_c3_g1_i7	3805.3218	-0.764208993	0.212301193	-3.599645305	0.000318652	0.009601251	4984	3600	3419	3036	3.697665163	3.556423121	3.534026106	3.482444792
TRINITY_DN1340_c0_g1_i1	160.5169921	-1.136669448	0.36875125	-3.08248297	0.002052815	0.035197832	208	187	107	122	2.320146286	2.274157849	2.033423755	2.089905111
TRINITY_DN137_c0_g1_i1	209.3741483	0.999878134	0.332857544	3.003922107	0.002665236	0.041750705	138	112	340	299	2.1430148	2.053078443	2.532754379	2.477121255
TRINITY_DN1382_c0_g1_i1	409.225771	-1.024074052	0.294738231	-3.474520584	0.000511767	0.013671492	564	419	297	319	2.752048448	2.62324929	2.474216264	2.505149978
TRINITY_DN13829_c0_g1_i1	2666.048378	-0.533603929	0.143597671	-3.715965063	0.00020243	0.007570865	2888	2756	2682	2306	3.460747542	3.440436766	3.428620673	3.363047595
TRINITY_DN1384_c0_g1_i1	269.4058117	1.593308837	0.293162376	5.434902173	5.48E-08	8.87E-06	122	118	447	477	2.089905111	2.075546961	2.651278014	2.679427897
TRINITY_DN1392_c0_g1_i3	2034.191675	0.563699072	0.151110626	3.730373472	0.000191196	0.007330416	1436	1501	2731	2812	3.157456768	3.176669933	3.436480695	3.449169732
TRINITY_DN1396_c0_g1_i1	1007.448323	-0.576670299	0.170349241	-3.385223771	0.000711203	0.016989589	1123	1036	962	888	3.050766311	3.015778756	2.983626287	2.948901761
TRINITY_DN14009_c0_g1_i1	3519.153017	-0.663175004	0.192533053	-3.444473519	0.000572173	0.014821997	4350	3378	3027	3194	3.638589083	3.528788192	3.481155871	3.504470862
TRINITY_DN1403_c0_g1_i7	371.2982259	1.107946061	0.249364335	4.443081496	8.87E-06	0.000618849	205	216	577	582	2.31386722	2.336459734	2.761927838	2.765668555
TRINITY_DN14048_c0_g1_i1	4772.198317	-0.618814861	0.170640008	-3.626434791	0.000287361	0.008956095	5742	4611	4289	4312	3.759138816	3.663889299	3.632457292	3.634779458
TRINITY_DN1405_c0_g2_i3	141.2125105	2.66457207	0.504042206	5.286406653	1.25E-07	1.78E-05	45	24	269	288	1.662757832	1.397940009	2.431363764	2.460897843
TRINITY_DN1418_c0_g1_i1	710.23209	0.725544052	0.188128411	3.856642634	0.000114955	0.005169444	487	471	1057	968	2.688419822	2.673941999	3.024485668	2.986323777
TRINITY_DN14186_c0_g1_i1	9161.250581	-0.816886328	0.138859798	-5.882813747	4.03E-09	1.06E-06	11279	9649	7752	7418	4.0523091	3.984527313	3.889469784	3.870345371
TRINITY_DN14249_c0_g1_i1	1137.626273	-0.70402283	0.177879574	-3.957862129	7.56E-05	0.003712237	1335	1189	1056	925	3.125806458	3.075546961	3.024074987	2.966610987
TRINITY_DN1434_c0_g1_i1	1920.848156	1.07256467	0.195435456	5.488076187	4.06E-08	7.15E-06	1215	1002	2821	3121	3.084933575	3.001300933	3.450557009	3.494432899
TRINITY_DN1445_c0_g3_i6	247.358242	1.148755426	0.315578347	3.640159208	0.00027247	0.008698573	130	145	368	410	2.117271296	2.164352856	2.567026366	2.613841822
TRINITY_DN1454_c0_g1_i8	3109.698458	0.822451044	0.225181451	3.652392501	0.000259808	0.008470276	1687	2327	4768	4322	3.227372442	3.366982976	3.678427322	3.635785236
TRINITY_DN14697_c0_g1_i1	31656.13562	-0.463187691	0.143381933	-3.230446687	0.00123597	0.024409378	31439	34194	33237	27732	4.497482537	4.533962608	4.521634883	4.442996852
TRINITY_DN14773_c0_g1_i4	10576.6965	-0.53244702	0.146622853	-3.631405398	0.000281882	0.008831318	11738	10650	9428	10308	4.069631103	4.027390385	3.974465636	4.01321654
TRINITY_DN1495_c0_g1_i14	618.7548797	1.183573585	0.339758204	3.483576174	0.000494762	0.013396641	405	273	835	1121	2.608526034	2.437750563	2.922206277	3.049992857
TRINITY_DN15_c0_g1_i1	29847.39092	-0.912517142	0.219834781	-4.150922512	3.31E-05	0.001923815	29345	40309	26178	21277	4.467548913	4.605412798	4.417953053	4.327930805
TRINITY_DN150_c0_g1_i2	4294.353817	-0.643384997	0.1613679	-3.987069287	6.69E-05	0.003335805	4779	4592	3582	4066	3.679427897	3.662096445	3.554246808	3.609274172
TRINITY_DN150_c0_g1_i3	3511.296971	0.59662334	0.127134727	4.692843218	2.69E-06	0.000251921	2451	2550	4917	4747	3.389520466	3.406710459	3.691788524	3.67651071
TRINITY_DN1502_c0_g1_i1	512.5113342	-0.955606645	0.316705982	-3.017330577	0.002550115	0.040290021	713	499	360	435	2.853698212	2.698970004	2.557507202	2.639486489
TRINITY_DN1509_c0_g1_i2	1434.714338	2.024596644	0.452428964	4.474949227	7.64E-06	0.000551029	342	668	3542	1768	2.53529412	2.825426118	3.549371152	3.247727833
TRINITY_DN15161_c0_g1_i1	926.6958137	-1.259209038	0.337690086	-3.728889567	0.000192325	0.007330416	1493	852	683	568	3.174350597	2.930949031	2.835056102	2.755112266
TRINITY_DN15161_c0_g1_i2	5977.67788	-0.774033754	0.257315247	-3.008114611	0.00262874	0.041287084	8324	5203	5102	4982	3.920384242	3.716337288	3.707825568	3.697490887
TRINITY_DN152_c0_g1_i8	439.2490132	0.8952019	0.273136481	3.277489323	0.001047347	0.021953408	298	252	602	701	2.475671188	2.403120521	2.780317312	2.846337112
TRINITY_DN153_c0_g1_i2	445.3737573	1.250582555	0.378089442	3.30763681	0.000940867	0.020473275	254	218	929	515	2.40654018	2.340444115	2.968482949	2.712649702
TRINITY_DN1534_c0_g1_i1	2523.51051	-0.60700191	0.173390235	-3.500784866	0.00046389	0.012760498	2980	2476	2244	2325	3.474361976	3.393926007	3.351216345	3.36660971
TRINITY_DN155_c0_g1_i1	3782.561195	1.686740358	0.16148369	10.44526763	1.54E-25	3.07E-22	1762	1449	6788	6412	3.246252312	3.161368002	3.831805809	3.80706124
TRINITY_DN155_c0_g1_i2	4560.068112	-0.899343845	0.16237798	-5.538582527	3.05E-08	5.89E-06	5580	5048	3425	3838	3.746712023	3.703205371	3.534787359	3.584218112
TRINITY_DN15787_c0_g1_i3	431.60428	1.346344889	0.237686283	5.664377734	1.48E-08	3.27E-06	220	216	693	722	2.344392274	2.336459734	2.84135947	2.859138297
TRINITY_DN15921_c1_g1_i1	158.1796953	-1.247731642	0.425109325	-2.93508415	0.003334572	0.048131146	238	161	102	112	2.378397901	2.209515015	2.012837225	2.053078443
TRINITY_DN15940_c0_g1_i1	6276.937895	0.385927205	0.110262401	3.500079811	0.000465119	0.012760498	4920	4819	8347	7915	3.692053365	3.683047038	3.92158244	3.898505786
TRINITY_DN16_c0_g1_i4	1263.041491	-0.682138901	0.178882657	-3.813331666	0.000137106	0.005777759	1369	1415	1061	1153	3.136720567	3.151063253	3.026124517	3.062205809
TRINITY_DN1603_c0_g1_i1	1424.763263	0.538297946	0.156884999	3.431162627	0.000601	0.015110862	1026	1053	2043	1819	3.011570444	3.022840611	3.310480891	3.260071388
TRINITY_DN1631_c0_g1_i2	577.2367331	1.546350044	0.245261687	6.304898511	2.88E-10	1.02E-07	269	258	1115	857	2.431363764	2.413299764	3.047664195	2.933487288
TRINITY_DN1639_c0_g1_i1	1264.608457	1.519055176	0.178144706	8.527085697	1.50E-17	1.50E-14	550	620	2171	2115	2.741151599	2.7930916	3.336859821	3.325515663
TRINITY_DN1662_c0_g1_i2	313.7150022	0.935241182	0.307684562	3.039610363	0.002368844	0.038299588	222	164	481	461	2.348304863	2.217483944	2.683047038	2.664641976
TRINITY_DN1662_c0_g1_i3	971.1326231	0.726862132	0.222957423	3.26009388	0.001113753	0.022902751	597	711	1529	1245	2.776701184	2.852479994	3.184691431	3.095518042
TRINITY_DN1672_c0_g1_i1	2061.682496	-1.29783293	0.290515809	-4.467340129	7.92E-06	0.000564193	2298	2941	1691	1050	3.361538971	3.468642668	3.228400359	3.021602716
TRINITY_DN16787_c0_g1_i1	516.382783	1.049511172	0.241215155	4.350933801	1.36E-05	0.000872242	300	302	890	706	2.478566496	2.481442629	2.949877704	2.849419414
TRINITY_DN1683_c0_g1_i3	283.3187157	1.836447515	0.34281723	5.356928862	8.46E-08	1.28E-05	122	100	592	424	2.089905111	2.004321374	2.773054693	2.62838893
TRINITY_DN16842_c0_g1_i4	9353.006856	-0.692251041	0.180237161	-3.840778649	0.000122645	0.005356976	11646	9053	8008	8325	4.066214075	3.95684049	3.903578294	3.920436407
TRINITY_DN1685_c0_g1_i1	552.7261419	1.089090726	0.292901706	3.718280578	0.000200583	0.007549001	286	346	1010	716	2.457881897	2.540329475	3.004751156	2.855519156
TRINITY_DN1685_c0_g1_i2	366.687059	1.905912863	0.375916835	5.070038602	3.98E-07	4.67E-05	174	103	624	697	2.243038049	2.017033339	2.795880017	2.843855423
TRINITY_DN1689_c0_g1_i2	877.2566563	-1.30474164	0.196112463	-6.653027654	2.87E-11	1.32E-08	1137	1098	550	604	3.056142262	3.040997692	2.741151599	2.781755375
TRINITY_DN169_c0_g1_i11	142.2904926	-10.78821988	1.585479305	-6.80439022	1.01E-11	5.52E-09	353	158	0	0	2.549003262	2.201397124	0	0
TRINITY_DN16910_c0_g1_i1	30765.71681	-0.452031284	0.135235535	-3.342548114	0.00083013	0.019059143	34178	29469	29618	29757	4.533759352	4.469380136	4.471570392	4.473603739
TRINITY_DN1692_c0_g2_i2	389.2325486	-1.022439774	0.289046302	-3.537287167	0.00040426	0.01168643	439	494	338	251	2.643452676	2.694605199	2.530199698	2.401400541
TRINITY_DN17201_c0_g1_i1	570.7820793	-0.719742986	0.229785085	-3.132244141	0.001734756	0.030987395	697	575	501	485	2.843855423	2.760422483	2.700703717	2.686636269
TRINITY_DN1756_c0_g1_i1	3148.785416	-0.71795094	0.201483745	-3.563319414	0.000366195	0.010689311	3905	3110	2541	2891	3.591732239	3.492900011	3.405175546	3.461198289
TRINITY_DN17594_c0_g1_i1	434.7059744	-1.245819158	0.282670474	-4.407319731	1.05E-05	0.000703676	477	616	310	280	2.679427897	2.790285164	2.492760389	2.44870632
TRINITY_DN176_c0_g1_i1	148.5957016	1.350236556	0.431336121	3.130358183	0.001745933	0.031094231	85	65	287	203	1.934498451	1.819543936	2.459392488	2.309630167
TRINITY_DN176_c0_g1_i5	502.5311424	1.638762432	0.390586622	4.195644034	2.72E-05	0.001623666	153	283	921	820	2.187520721	2.45331834	2.964730921	2.914343157
TRINITY_DN177_c0_g1_i4	234.4229414	-1.84568206	0.423058191	-4.362714396	1.28E-05	0.000835539	371	286	91	141	2.57054294	2.457881897	1.963787827	2.152288344
TRINITY_DN1829_c0_g1_i9	196.4532873	1.334215549	0.455946136	2.926256949	0.003430675	0.0489956	119	81	402	245	2.079181246	1.913813852	2.605305046	2.390935107
TRINITY_DN1841_c0_g1_i1	1814.066229	-0.437564391	0.148069106	-2.955136297	0.003125309	0.04640658	1956	1780	1789	1734	3.291590826	3.250663919	3.252853031	3.239299479
TRINITY_DN18492_c1_g1_i1	180.6506153	-1.574137428	0.34076384	-4.619437994	3.85E-06	0.000318418	243	241	113	95	2.387389826	2.383815366	2.056904851	1.982271233
TRINITY_DN18531_c0_g1_i1	1062.936711	-0.651920212	0.202707248	-3.216067599	0.001299602	0.025086514	1129	1195	1059	836	3.053078443	3.07773118	3.025305865	2.922725458
TRINITY_DN18591_c0_g1_i1	1635.585272	-0.795927421	0.149493402	-5.3241642	1.01E-07	1.48E-05	1853	1861	1448	1288	3.26810973	3.269979677	3.161068385	3.110252917
TRINITY_DN188_c0_g1_i3	570.7093034	1.393441265	0.28966637	4.81050412	1.51E-06	0.000147687	335	229	940	949	2.526339277	2.361727836	2.973589623	2.977723605
TRINITY_DN1880_c0_g1_i1	316.1045371	0.881115134	0.264668675	3.329125117	0.000871193	0.019525155	196	202	462	474	2.294466226	2.307496038	2.665580991	2.67669361
TRINITY_DN18880_c0_g1_i1	2905.26435	-0.707988973	0.220483619	-3.211072896	0.001322404	0.02529955	3726	2732	2405	2631	3.571359393	3.436639632	3.381295623	3.420285885
TRINITY_DN1890_c0_g1_i3	362.9821994	0.776182453	0.260270038	2.982219773	0.002861665	0.043684191	245	234	576	474	2.390935107	2.371067862	2.761175813	2.67669361
TRINITY_DN18957_c0_g1_i1	980.0469352	-0.757757873	0.181197557	-4.181943104	2.89E-05	0.001695633	1164	1041	881	786	3.066325925	3.017867719	2.945468585	2.895974732
TRINITY_DN190_c0_g1_i1	1147.526378	1.598050078	0.471154366	3.391776012	0.000694412	0.016755485	750	274	2082	1866	2.875639937	2.439332694	3.31868927	3.271144318
TRINITY_DN19043_c0_g1_i1	3444.320991	-0.535224766	0.181315777	-2.951892959	0.003158324	0.046665211	4072	3229	3424	3014	3.60991441	3.509202522	3.534660576	3.479287316
TRINITY_DN19065_c0_g1_i1	979.2762251	-0.834929531	0.216626795	-3.854230181	0.000116094	0.005169444	1259	989	808	800	3.100370545	2.995635195	2.907948522	2.903632516
TRINITY_DN192_c0_g1_i2	473.6011988	1.308462218	0.259942616	5.033657963	4.81E-07	5.43E-05	275	213	791	752	2.440909082	2.330413773	2.898725182	2.876794976
TRINITY_DN1943_c0_g1_i1	537.7888449	-0.797006862	0.219215653	-3.635720592	0.000277205	0.008730488	583	638	452	446	2.766412847	2.805500858	2.656098202	2.650307523
TRINITY_DN1970_c0_g1_i2	370.0435836	-0.85717127	0.279463772	-3.067199957	0.002160743	0.036100784	472	382	289	312	2.674861141	2.583198774	2.462397998	2.495544338
TRINITY_DN1974_c0_g1_i1	273.2519243	-1.684218329	0.561744071	-2.998195116	0.002715837	0.042321799	498	250	100	194	2.698100546	2.399673721	2.004321374	2.290034611
TRINITY_DN1982_c0_g1_i14	579.7324361	-3.559383727	0.327493085	-10.86857675	1.63E-27	4.87E-24	1155	761	99	108	3.062957834	2.881954971	2	2.037426498
TRINITY_DN1982_c0_g1_i7	243.136701	-1.016097298	0.316241136	-3.21304594	0.001313353	0.025270428	282	300	170	197	2.451786436	2.478566496	2.23299611	2.29666519
TRINITY_DN1986_c0_g1_i2	21792.28389	-0.614967612	0.166502177	-3.693450889	0.000221231	0.007833419	24134	23056	17968	21287	4.382647303	4.3628028	4.254523909	4.328134862
TRINITY_DN19927_c0_g1_i1	2927.20614	0.594482327	0.180204065	3.298939596	0.000970508	0.020890358	2333	1845	4179	3877	3.368100852	3.266231697	3.621176282	3.588607805
TRINITY_DN2_c0_g2_i2	3663.643972	0.480818946	0.126717346	3.794420906	0.000147988	0.006065499	2848	2627	4990	4770	3.454692449	3.419625361	3.69818757	3.678609417
TRINITY_DN2000_c0_g1_i1	3058.911324	-0.585162661	0.180348972	-3.244613236	0.001176102	0.023537783	3161	3405	2588	2993	3.499961866	3.532244644	3.41313205	3.476251796
TRINITY_DN2008_c0_g1_i1	689.0199758	0.737305097	0.198869401	3.707483868	0.000209329	0.007616221	490	435	1017	953	2.691081492	2.639486489	3.007747778	2.979548375
TRINITY_DN2019_c0_g2_i1	233.9128486	-1.06679195	0.323940654	-3.293170946	0.000990642	0.02117144	308	259	163	182	2.489958479	2.414973348	2.214843848	2.26245109
TRINITY_DN202_c0_g1_i1	529.8010549	0.743125872	0.25133187	2.956751448	0.003108986	0.04640658	346	363	862	659	2.540329475	2.561101384	2.936010796	2.819543936
TRINITY_DN202_c0_g1_i2	433.4469544	1.036952065	0.317129247	3.269808999	0.001076201	0.022414307	295	214	766	571	2.471291711	2.33243846	2.884795364	2.757396029
TRINITY_DN2021_c0_g1_i2	444.7953648	-0.88594919	0.266033302	-3.330219123	0.000867777	0.019521712	579	455	381	334	2.763427994	2.658964843	2.582063363	2.525044807
TRINITY_DN20228_c0_g1_i1	4283.488321	-0.915915887	0.218385894	-4.194024947	2.74E-05	0.001623666	5894	4141	3478	3308	3.770483809	3.617210095	3.541454429	3.519696767
TRINITY_DN204_c0_g1_i1	158.4451644	1.771767803	0.581251008	3.048197387	0.002302187	0.037640121	38	90	318	244	1.591064607	1.959041392	2.503790683	2.389166084
TRINITY_DN20407_c0_g1_i1	24807.44664	-0.444263392	0.145147613	-3.06076953	0.00220769	0.036293446	27826	23384	23896	24126	4.444466388	4.368937374	4.378343384	4.382503324
TRINITY_DN2069_c2_g1_i1	1292.981987	0.672523534	0.213794605	3.145652503	0.001657168	0.030049975	1013	773	1832	1800	3.006037955	2.888740961	3.263162465	3.255513713
TRINITY_DN2082_c0_g1_i1	8721.584939	-0.336787167	0.108028372	-3.117580684	0.00182342	0.031998085	8715	8704	8961	8661	3.940317222	3.939768775	3.95240494	3.937618179
TRINITY_DN211_c0_g1_i2	15305.20095	0.779534687	0.141099306	5.524723733	3.30E-08	6.17E-06	10351	9816	24371	19945	4.015024263	3.991978791	4.386891169	4.299855815
TRINITY_DN211_c0_g1_i3	8852.347834	0.423757861	0.135667214	3.12350972	0.00178708	0.031732595	6552	6974	11310	11854	3.816440168	3.843544212	4.053501002	4.073901558
TRINITY_DN21411_c0_g1_i1	2406.684113	-0.414272748	0.131765819	-3.144007689	0.001666511	0.030128095	2438	2482	2430	2289	3.3872118	3.39497672	3.385784959	3.359835482
TRINITY_DN2142_c0_g1_i4	718.4083498	0.832067798	0.188957425	4.403467077	1.07E-05	0.000708336	479	446	1083	1021	2.681241237	2.650307523	3.035029282	3.009450896
TRINITY_DN2144_c0_g1_i1	672.2869669	1.058940211	0.295021797	3.589362627	0.000331487	0.009868761	317	462	1117	963	2.50242712	2.665580991	3.048441804	2.984077034
TRINITY_DN2145_c2_g1_i1	738.808244	0.658350318	0.204340855	3.221824236	0.001273772	0.024855062	546	480	1014	1052	2.737987326	2.682145076	3.006466042	3.022428371
TRINITY_DN2154_c0_g1_i8	336.1526586	-1.042934524	0.308134519	-3.384672791	0.000712631	0.016989589	465	346	271	232	2.668385917	2.540329475	2.434568904	2.367355921
TRINITY_DN21561_c0_g1_i1	2465.486398	-0.396024197	0.135016903	-2.933145313	0.003355468	0.048244441	2489	2524	2562	2310	3.396199347	3.402261382	3.408748606	3.363799945
TRINITY_DN21567_c4_g1_i1	35329.59658	-0.445034215	0.142806613	-3.116341785	0.001831099	0.03203888	37152	35750	32275	36005	4.569993888	4.553288194	4.508879707	4.556374877
TRINITY_DN2157_c0_g1_i2	307.8836336	-1.924668044	0.303266423	-6.346459414	2.20E-10	8.79E-08	484	389	160	134	2.685741739	2.591064607	2.206825876	2.130333768
TRINITY_DN216_c0_g2_i1	2273.497387	0.523448611	0.164207263	3.187731179	0.001433938	0.026983282	1555	1781	3193	2941	3.192009593	3.2509077	3.504334912	3.468642668
TRINITY_DN2164_c0_g1_i6	459.8544047	0.902667229	0.262404272	3.439986791	0.000581743	0.015004946	318	256	659	709	2.503790683	2.409933123	2.819543936	2.851258349
TRINITY_DN21644_c0_g1_i1	480.9230965	-1.152491912	0.366849881	-3.141589983	0.001680332	0.03028646	757	433	341	341	2.879669206	2.63748973	2.534026106	2.534026106
