baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN1456_c0_g1_i1	19.9329644169108	22.2424764929734	3.68532349853711	6.03542036453586	1.58549405239259e-09	1.4165859796189e-05
TRINITY_DN1994_c0_g2_i2	17.0394695821979	22.0256958707674	3.68896857251975	5.97069219695811	2.36249088081325e-09	1.4165859796189e-05
TRINITY_DN365_c0_g1_i1	16.7179701561187	21.9984974649453	3.68960079860666	5.96229745864452	2.48715847253827e-09	1.4165859796189e-05
TRINITY_DN3830_c0_g1_i1	17.6824684343563	22.0791432127655	3.68783959311746	5.98701289881786	2.13729839087896e-09	1.4165859796189e-05
TRINITY_DN3962_c0_g1_i7	31.185444329683	22.8678290706108	3.68468542281194	6.20618219645991	5.4287237375793e-10	1.4165859796189e-05
