Trinity_ID	822_cold	823_cold	824_warm	825_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN321_c0_g1_i3	355	321	243	225	291.1101719	-0.884159712	0.271204442	-3.260122533	0.001113641	0.022902751
TRINITY_DN6234_c0_g1_i1	210	159	583	580	357.4370718	1.304779085	0.290701061	4.488387764	7.18e-06	0.000530169
TRINITY_DN1382_c0_g1_i1	564	419	297	319	409.225771	-1.024074052	0.294738231	-3.474520584	0.000511767	0.013671492
TRINITY_DN2000_c0_g1_i1	3161	3405	2588	2993	3058.911324	-0.585162661	0.180348972	-3.244613236	0.001176102	0.023537783
TRINITY_DN1692_c0_g2_i2	439	494	338	251	389.2325486	-1.022439774	0.289046302	-3.537287167	0.00040426	0.01168643
TRINITY_DN356_c0_g1_i17	16254	14386	15823	13751	15016.21899	-0.40579337	0.135227506	-3.000819745	0.002692539	0.042068286
TRINITY_DN1020_c0_g1_i1	208	377	920	1019	588.744287	1.374196412	0.381527257	3.601830245	0.000315985	0.009601251
TRINITY_DN633_c0_g1_i1	2173	1984	1834	1663	1925.318159	-0.603515267	0.14785859	-4.081705814	4.47e-05	0.002523801
TRINITY_DN2313_c0_g2_i6	1475	483	237	83	613.7156767	-2.977269272	0.665051898	-4.476747275	7.58e-06	0.000551029
TRINITY_DN5813_c0_g1_i1	47	67	238	189	125.0557511	1.546205616	0.461715056	3.348830838	0.000811533	0.018749865
TRINITY_DN8327_c3_g1_i1	649	605	418	395	528.058861	-0.978696484	0.210926115	-4.639996732	3.48e-06	0.000306605
TRINITY_DN2889_c2_g1_i1	29793	24596	22078	23762	25224.776	-0.596913244	0.162627757	-3.670426596	0.000242146	0.008074154
TRINITY_DN155_c0_g1_i1	1762	1449	6788	6412	3782.561195	1.686740358	0.16148369	10.44526763	1.54e-25	3.07e-22
TRINITY_DN3657_c0_g1_i1	885	843	774	680	800.3636562	-0.603964767	0.185544526	-3.255093428	0.001133551	0.023071998
TRINITY_DN1974_c0_g1_i1	498	250	100	194	273.2519243	-1.684218329	0.561744071	-2.998195116	0.002715837	0.042321799
TRINITY_DN416_c0_g2_i2	1298	1152	2388	2370	1725.228216	0.605286629	0.157767923	3.836563344	0.000124768	0.005410231
TRINITY_DN15161_c0_g1_i2	8324	5203	5102	4982	5977.67788	-0.774033754	0.257315247	-3.008114611	0.00262874	0.041287084
TRINITY_DN456_c2_g1_i13	899	970	1793	1664	1278.125159	0.532540179	0.165196477	3.223677573	0.001265558	0.024829834
TRINITY_DN28217_c0_g1_i1	1615	1269	1206	1178	1326.482078	-0.626472603	0.203640323	-3.076368152	0.00209539	0.03552071
TRINITY_DN9354_c0_g1_i1	13290	9663	5720	7509	9309.502052	-1.140642965	0.250500212	-4.553461081	5.28e-06	0.000406913
TRINITY_DN6753_c0_g1_i3	610	742	1565	1618	1074.908896	0.881815125	0.212761648	4.144615041	3.4e-05	0.001958523
TRINITY_DN2_c0_g2_i2	2848	2627	4990	4770	3663.643972	0.480818946	0.126717346	3.794420906	0.000147988	0.006065499
TRINITY_DN2611_c0_g1_i1	749	749	1622	1340	1065.07966	0.627171084	0.185634408	3.378528207	0.00072875	0.017236511
TRINITY_DN22601_c0_g1_i1	955	877	799	771	855.0945603	-0.575684448	0.179417173	-3.208636263	0.001333661	0.025335324
TRINITY_DN1880_c0_g1_i1	196	202	462	474	316.1045371	0.881115134	0.264668675	3.329125117	0.000871193	0.019525155
TRINITY_DN7996_c0_g1_i1	564	536	428	436	496.4046056	-0.700722153	0.218296454	-3.209956647	0.00132755	0.02529955
TRINITY_DN11674_c0_g1_i1	19591	18458	13784	17193	17427.03734	-0.644969244	0.186926446	-3.450390551	0.000559776	0.014627512
TRINITY_DN897_c0_g2_i1	780	700	508	562	647.7963655	-0.818472881	0.221830311	-3.689635	0.000224576	0.007858848
TRINITY_DN402_c0_g1_i18	7514	7873	14114	16394	10989.14753	0.637128708	0.16521579	3.856342721	0.000115096	0.005169444
TRINITY_DN48_c20_g1_i2	36825	31743	27676	31732	32169.66356	-0.556171001	0.167894499	-3.312621931	0.000924258	0.020185261
TRINITY_DN336_c2_g1_i1	24623	21301	19422	17952	20993.56217	-0.650608069	0.1316428	-4.942222965	7.72e-07	8.11e-05
TRINITY_DN1310_c0_g1_i5	54	92	211	366	168.0410106	1.636513198	0.557546215	2.935206362	0.003333259	0.048131146
TRINITY_DN13179_c3_g1_i7	4984	3600	3419	3036	3805.3218	-0.764208993	0.212301193	-3.599645305	0.000318652	0.009601251
TRINITY_DN22236_c0_g1_i2	27384	22746	19039	21101	22791.06715	-0.670326366	0.168118809	-3.987218144	6.69e-05	0.003335805
TRINITY_DN155_c0_g1_i2	5580	5048	3425	3838	4560.068112	-0.899343845	0.16237798	-5.538582527	3.05e-08	5.89e-06
TRINITY_DN1418_c0_g1_i1	487	471	1057	968	710.23209	0.725544052	0.188128411	3.856642634	0.000114955	0.005169444
TRINITY_DN1405_c0_g2_i3	45	24	269	288	141.2125105	2.66457207	0.504042206	5.286406653	1.25e-07	1.78e-05
TRINITY_DN23918_c0_g1_i1	754	661	1891	1397	1111.756463	0.858776492	0.228738916	3.754396093	0.00017376	0.006840653
TRINITY_DN792_c0_g1_i11	302	165	38	31	145.2019073	-3.111136575	0.529027781	-5.880856712	4.08e-09	1.06e-06
TRINITY_DN339_c0_g1_i6	152	228	66	70	136.1625405	-1.836928499	0.464312403	-3.956233962	7.61e-05	0.003712237
TRINITY_DN948_c0_g1_i2	123	143	411	386	248.6273529	1.228292453	0.30529723	4.023267591	5.74e-05	0.002963599
TRINITY_DN23892_c0_g1_i1	318	343	690	646	476.8456737	0.66067548	0.224631147	2.941157042	0.003269887	0.047608283
TRINITY_DN1829_c0_g1_i9	119	81	402	245	196.4532873	1.334215549	0.455946136	2.926256949	0.003430675	0.0489956
TRINITY_DN5237_c0_g2_i1	352	311	159	156	254.0683549	-1.426203479	0.293737528	-4.855366933	1.2e-06	0.000119844
TRINITY_DN2562_c0_g1_i7	2316	2247	4521	4615	3274.462391	0.649271548	0.132107802	4.914710083	8.89e-07	9.17e-05
TRINITY_DN4994_c0_g1_i1	23610	21687	20593	22541	22101.98812	-0.421185018	0.141862797	-2.968960335	0.002988092	0.045153385
TRINITY_DN354_c0_g1_i1	226	212	142	119	179.3336219	-1.102377017	0.33987437	-3.243483808	0.001180775	0.02355253
TRINITY_DN176_c0_g1_i5	153	283	921	820	502.5311424	1.638762432	0.390586622	4.195644034	2.72e-05	0.001623666
TRINITY_DN6305_c0_g1_i4	9205	7904	6477	6160	7540.785413	-0.789915841	0.138965189	-5.684271323	1.31e-08	3.02e-06
TRINITY_DN14773_c0_g1_i4	11738	10650	9428	10308	10576.6965	-0.53244702	0.146622853	-3.631405398	0.000281882	0.008831318
TRINITY_DN6111_c0_g1_i1	859	978	1971	1592	1291.059384	0.598114775	0.202562427	2.952742938	0.003149641	0.046652112
TRINITY_DN114_c0_g1_i2	423900	448485	376174	348541	402253.8665	-0.622234365	0.111186654	-5.596304452	2.19e-08	4.37e-06
TRINITY_DN78_c0_g1_i1	192	250	562	631	385.0956929	1.080129282	0.305666015	3.533691122	0.0004098	0.011748537
TRINITY_DN28066_c26_g1_i1	168034	133333	108229	138521	138289.1848	-0.635144409	0.217424172	-2.921222612	0.003486606	0.049440404
TRINITY_DN1685_c0_g1_i1	286	346	1010	716	552.7261419	1.089090726	0.292901706	3.718280578	0.000200583	0.007549001
TRINITY_DN325_c0_g1_i10	907	708	2635	2281	1524.396936	1.251935405	0.206091927	6.074645551	1.24e-09	3.91e-07
TRINITY_DN1454_c0_g1_i8	1687	2327	4768	4322	3109.698458	0.822451044	0.225181451	3.652392501	0.000259808	0.008470276
TRINITY_DN771_c0_g1_i4	60	55	259	187	129.2956336	1.597177112	0.431698982	3.699747224	0.000215814	0.0076871
TRINITY_DN2717_c1_g1_i15	920	863	833	732	839.9413986	-0.542940359	0.183981643	-2.951057233	0.003166882	0.046676413
TRINITY_DN900_c0_g1_i2	1464	1629	2885	2633	2070.651676	0.479900528	0.158296579	3.031654456	0.002432175	0.038917264
TRINITY_DN5787_c0_g1_i1	1198	1270	1035	1078	1152.424308	-0.576607981	0.175755273	-3.280743557	0.001035338	0.021892101
TRINITY_DN3471_c0_g1_i1	1471	1220	1011	1043	1200.934493	-0.740863981	0.194964746	-3.799989473	0.000144702	0.005990028
TRINITY_DN1191_c0_g1_i1	506	522	1052	992	734.1995231	0.637416866	0.186617893	3.415625672	0.000636357	0.015931432
TRINITY_DN3368_c0_g1_i1	12459	16296	12962	9237	12880.92732	-0.734316778	0.23537871	-3.119724712	0.001810201	0.031953524
TRINITY_DN1685_c0_g1_i2	174	103	624	697	366.687059	1.905912863	0.375916835	5.070038602	3.98e-07	4.67e-05
TRINITY_DN2777_c0_g1_i1	642	679	1374	1217	935.2573357	0.61645411	0.18130242	3.40014275	0.000673507	0.016427816
TRINITY_DN2743_c0_g1_i1	88	90	388	217	181.137994	1.401638651	0.455572534	3.076653102	0.002093388	0.03552071
TRINITY_DN150_c0_g1_i2	4779	4592	3582	4066	4294.353817	-0.643384997	0.1613679	-3.987069287	6.69e-05	0.003335805
TRINITY_DN1509_c0_g1_i2	342	668	3542	1768	1434.714338	2.024596644	0.452428964	4.474949227	7.64e-06	0.000551029
TRINITY_DN14186_c0_g1_i1	11279	9649	7752	7418	9161.250581	-0.816886328	0.138859798	-5.882813747	4.03e-09	1.06e-06
TRINITY_DN1631_c0_g1_i2	269	258	1115	857	577.2367331	1.546350044	0.245261687	6.304898511	2.88e-10	1.02e-07
TRINITY_DN1249_c0_g1_i5	926	713	2144	1949	1351.905092	0.967327087	0.209477686	4.617804907	3.88e-06	0.000318418
TRINITY_DN19043_c0_g1_i1	4072	3229	3424	3014	3444.320991	-0.535224766	0.181315777	-2.951892959	0.003158324	0.046665211
TRINITY_DN2772_c0_g1_i1	33002	24714	21811	24050	26154.30232	-0.680809309	0.198144075	-3.435930699	0.000590522	0.015092404
TRINITY_DN177_c0_g1_i4	371	286	91	141	234.4229414	-1.84568206	0.423058191	-4.362714396	1.28e-05	0.000835539
TRINITY_DN555_c0_g1_i1	794	547	1740	1525	1087.257322	0.930781398	0.258613436	3.599122352	0.000319293	0.009601251
TRINITY_DN240_c0_g1_i1	619	455	303	337	439.9261927	-1.09596418	0.297726364	-3.681112294	0.000232219	0.007957498
TRINITY_DN1403_c0_g1_i7	205	216	577	582	371.2982259	1.107946061	0.249364335	4.443081496	8.87e-06	0.000618849
TRINITY_DN11127_c0_g1_i1	3275	3320	3371	3068	3250.15918	-0.389235512	0.126916536	-3.066862094	0.002163186	0.036100784
TRINITY_DN28128_c3_g1_i1	2830	2536	2386	2334	2531.174983	-0.53765823	0.143186007	-3.754963505	0.000173367	0.006840653
TRINITY_DN25158_c34_g1_i1	30090	48803	32300	23549	34263.53218	-0.860333139	0.289361859	-2.973208504	0.002947042	0.044645818
TRINITY_DN1076_c0_g1_i4	158	99	585	377	280.95763	1.546147829	0.424440981	3.64278639	0.000269703	0.008676885
TRINITY_DN26809_c0_g1_i1	4624	3648	3796	3563	3917.854124	-0.521240777	0.176713252	-2.949641696	0.003181426	0.046775568
TRINITY_DN1672_c0_g1_i1	2298	2941	1691	1050	2061.682496	-1.29783293	0.290515809	-4.467340129	7.92e-06	0.000564193
TRINITY_DN19065_c0_g1_i1	1259	989	808	800	979.2762251	-0.834929531	0.216626795	-3.854230181	0.000116094	0.005169444
TRINITY_DN256_c0_g1_i1	996	874	488	655	773.2929748	-1.056997299	0.274322638	-3.853117283	0.000116623	0.005169444
TRINITY_DN915_c0_g1_i1	418	151	34	9	167.5771913	-4.092009921	0.815531702	-5.017597612	5.23e-07	5.8e-05
TRINITY_DN26764_c0_g1_i3	11363	7202	5738	7410	8063.560521	-0.84282595	0.284455982	-2.9629398	0.003047162	0.04581461
TRINITY_DN348_c2_g1_i1	910	823	762	670	796.842796	-0.629798597	0.192073295	-3.278949296	0.001041944	0.021953408
TRINITY_DN1246_c0_g1_i1	748	810	1650	1501	1124.126661	0.661020841	0.173312142	3.814048063	0.000136709	0.005777759
TRINITY_DN7091_c0_g1_i2	565	440	280	367	422.5825337	-0.981896014	0.32231758	-3.046361959	0.002316288	0.037710509
TRINITY_DN137_c0_g1_i1	138	112	340	299	209.3741483	0.999878134	0.332857544	3.003922107	0.002665236	0.041750705
TRINITY_DN25605_c0_g1_i1	260	212	139	144	193.7221376	-1.089117866	0.343795145	-3.167926832	0.001535302	0.028181731
TRINITY_DN2142_c0_g1_i4	479	446	1083	1021	718.4083498	0.832067798	0.188957425	4.403467077	1.07e-05	0.000708336
TRINITY_DN2389_c0_g1_i3	1045	1017	1896	1890	1404.498403	0.523840578	0.152611924	3.432500969	0.000598042	0.015110862
TRINITY_DN6190_c0_g1_i1	36320	34535	33411	35902	34975.49053	-0.382912371	0.130152193	-2.94203549	0.003260626	0.047589228
TRINITY_DN4988_c0_g1_i1	1254	1336	1159	890	1170.739381	-0.696102599	0.208345395	-3.341099041	0.000834474	0.019059143
TRINITY_DN6753_c0_g1_i10	4612	5037	1785	2139	3558.023073	-1.648192266	0.191689066	-8.59825913	8.09e-18	9.69e-15
TRINITY_DN8565_c0_g1_i3	1400	1212	2918	3122	2052.179943	0.858676931	0.173235107	4.956714298	7.17e-07	7.66e-05
TRINITY_DN4170_c0_g1_i1	786	693	535	544	649.193376	-0.806795784	0.208767729	-3.864561766	0.000111289	0.00512271
TRINITY_DN2164_c0_g1_i6	318	256	659	709	459.8544047	0.902667229	0.262404272	3.439986791	0.000581743	0.015004946
TRINITY_DN5008_c0_g1_i2	174	100	448	521	288.8207178	1.47550905	0.410562609	3.593870987	0.000325801	0.009747972
TRINITY_DN4716_c0_g1_i1	1662	1583	1583	1489	1578.205225	-0.432741386	0.145062887	-2.983129559	0.002853172	0.043665935
TRINITY_DN3421_c0_g1_i1	568	564	1268	1129	839.9932866	0.727412286	0.180851504	4.022152273	5.77e-05	0.002963599
TRINITY_DN756_c0_g1_i1	6271	6762	14977	11371	9387.527224	0.656981678	0.176969396	3.712402781	0.000205301	0.007583461
TRINITY_DN464_c0_g1_i2	914	897	3103	2809	1797.91324	1.352264865	0.144515826	9.357209545	8.19e-21	1.22e-17
TRINITY_DN1124_c0_g1_i1	837	713	512	447	642.270188	-1.046953134	0.219615157	-4.767217105	1.87e-06	0.000180281
TRINITY_DN16787_c0_g1_i1	300	302	890	706	516.382783	1.049511172	0.241215155	4.350933801	1.36e-05	0.000872242
TRINITY_DN8976_c0_g1_i1	116	123	434	335	234.4959687	1.328110351	0.328349991	4.044800939	5.24e-05	0.002773166
TRINITY_DN18492_c1_g1_i1	243	241	113	95	180.6506153	-1.574137428	0.34076384	-4.619437994	3.85e-06	0.000318418
TRINITY_DN630_c0_g1_i1	1535	1465	1150	1275	1369.459995	-0.657733451	0.179868718	-3.656741749	0.000255442	0.008398692
TRINITY_DN26798_c0_g1_i1	19587	19942	15192	17901	18303.39581	-0.606274331	0.165509499	-3.663078768	0.000249202	0.008238806
TRINITY_DN116_c0_g1_i1	1058	1029	952	658	933.6962498	-0.733753878	0.248884039	-2.948175711	0.003196553	0.04688278
TRINITY_DN5112_c0_g1_i1	1135	912	782	830	924.4283376	-0.695108945	0.219676368	-3.164240877	0.001554881	0.028453838
TRINITY_DN1689_c0_g1_i2	1137	1098	550	604	877.2566563	-1.30474164	0.196112463	-6.653027654	2.87e-11	1.32e-08
TRINITY_DN792_c0_g1_i6	29	63	248	231	130.5066042	2.021888006	0.565998752	3.572248172	0.00035393	0.01038194
TRINITY_DN325_c0_g1_i2	200	425	897	1284	654.6772928	1.452236328	0.461645459	3.145782762	0.00165643	0.030049975
TRINITY_DN12172_c0_g1_i1	485	367	288	188	341.352754	-1.19850922	0.358685876	-3.341389502	0.000833602	0.019059143
TRINITY_DN1282_c0_g2_i2	1991	1852	3292	3270	2509.208004	0.419346045	0.136996176	3.061005464	0.002205951	0.036293446
TRINITY_DN499_c0_g1_i1	482	490	1012	958	702.3732765	0.665186244	0.188259578	3.533346093	0.000410335	0.011748537
TRINITY_DN541_c0_g1_i1	22443	16013	16143	12165	16900.5625	-0.797977247	0.230064638	-3.468491517	0.000523389	0.01385823
TRINITY_DN8565_c0_g1_i1	1400	800	3286	3068	2002.264983	1.179556849	0.304530266	3.873364923	0.000107343	0.00497938
TRINITY_DN8812_c0_g1_i2	1206	974	813	823	966.6026612	-0.765495002	0.20987629	-3.647362934	0.000264946	0.008569915
