Trinity_ID	822_cold	823_cold	824_warm	825_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN11721_c0_g1_i1	4937	3680	1776	2051	3243.63594	-1.51926116	0.223914207	-6.785014588	1.16e-11	5.79e-09
TRINITY_DN2764_c0_g1_i14	279	180	546	717	405.3465358	1.115109456	0.372381065	2.994538556	0.002748603	0.042490214
TRINITY_DN235_c0_g1_i2	297	351	178	225	269.6645371	-1.035156383	0.34145149	-3.031635281	0.002432329	0.038917264
TRINITY_DN915_c0_g1_i2	541	130	47	30	203.1947663	-3.475911815	0.760682362	-4.569465505	4.89e-06	0.000386687
TRINITY_DN28238_c0_g1_i1	4599	4374	4381	4409	4430.290237	-0.382173102	0.124404468	-3.072020702	0.00212615	0.0358391
TRINITY_DN890_c0_g1_i1	502	455	339	354	419.0204495	-0.817273766	0.241083458	-3.390003502	0.000698917	0.016796471
TRINITY_DN211_c0_g1_i2	10351	9816	24371	19945	15305.20095	0.779534687	0.141099306	5.524723733	3.3e-08	6.17e-06
TRINITY_DN8743_c0_g1_i2	2265	1524	1563	1248	1670.132766	-0.785227242	0.265708091	-2.955225186	0.003124409	0.04640658
TRINITY_DN340_c1_g2_i1	630	792	1506	1398	1032.571381	0.674443539	0.219939171	3.066500328	0.002165806	0.036100784
TRINITY_DN3764_c0_g2_i2	438	543	1058	995	723.2469954	0.710087032	0.231661781	3.065188516	0.002175328	0.036158791
TRINITY_DN4749_c0_g1_i2	335	82	29	11	124.522718	-3.74200862	0.887838439	-4.214740494	2.5e-05	0.001526931
TRINITY_DN3290_c0_g1_i2	558	589	370	331	473.7534256	-1.065550784	0.225650281	-4.722133642	2.33e-06	0.000221677
TRINITY_DN1986_c0_g1_i2	24134	23056	17968	21287	21792.28389	-0.614967612	0.166502177	-3.693450889	0.000221231	0.007833419
TRINITY_DN25204_c4_g1_i1	2112	1834	1429	1713	1791.07368	-0.677354038	0.208339499	-3.25120316	0.001149177	0.023168261
TRINITY_DN2069_c2_g1_i1	1013	773	1832	1800	1292.981987	0.672523534	0.213794605	3.145652503	0.001657168	0.030049975
TRINITY_DN609_c2_g2_i1	917	921	1691	1752	1267.321993	0.553250739	0.164932332	3.354410449	0.000795343	0.018452309
TRINITY_DN25165_c11_g1_i1	13422	17509	13701	8460	13472.57308	-0.844636008	0.274230223	-3.080025233	0.002069831	0.035287368
TRINITY_DN78_c0_g1_i2	478	614	325	173	413.5853348	-1.498336753	0.407093804	-3.680568802	0.000232714	0.007957498
TRINITY_DN5356_c0_g1_i2	2293	1888	1806	1710	1936.058417	-0.602559287	0.17527584	-3.437777203	0.00058651	0.015062988
TRINITY_DN3746_c0_g1_i14	224	190	131	106	167.3127535	-1.160214753	0.366003316	-3.169956942	0.001524615	0.028071686
TRINITY_DN4064_c0_g1_i2	909	709	1956	2159	1353.178101	0.997198281	0.220541879	4.521582404	6.14e-06	0.000464927
TRINITY_DN748_c0_g1_i1	5948	7436	5268	3221	5589.474244	-1.020311279	0.275377686	-3.705134193	0.000211279	0.007616221
TRINITY_DN202_c0_g1_i1	346	363	862	659	529.8010549	0.743125872	0.25133187	2.956751448	0.003108986	0.04640658
TRINITY_DN13829_c0_g1_i1	2888	2756	2682	2306	2666.048378	-0.533603929	0.143597671	-3.715965063	0.00020243	0.007570865
TRINITY_DN3251_c0_g1_i1	892	833	698	714	790.9256834	-0.640972162	0.187825617	-3.412591813	0.000643482	0.01597759
TRINITY_DN16_c0_g1_i4	1369	1415	1061	1153	1263.041491	-0.682138901	0.178882657	-3.813331666	0.000137106	0.005777759
TRINITY_DN1943_c0_g1_i1	583	638	452	446	537.7888449	-0.797006862	0.219215653	-3.635720592	0.000277205	0.008730488
TRINITY_DN3519_c0_g1_i2	461	377	1133	1031	706.8640002	1.015270263	0.219091553	4.634000028	3.59e-06	0.000309679
TRINITY_DN192_c0_g1_i2	275	213	791	752	473.6011988	1.308462218	0.259942616	5.033657963	4.81e-07	5.43e-05
TRINITY_DN671_c0_g1_i23	273	345	749	907	536.1335684	1.071228114	0.291201077	3.678654367	0.000234468	0.007971904
TRINITY_DN23879_c2_g1_i1	4261	3988	3643	3741	3920.614162	-0.511788812	0.133231818	-3.841340762	0.000122364	0.005356976
TRINITY_DN4298_c1_g1_i1	696	835	643	556	690.0247366	-0.709286906	0.231706809	-3.061139679	0.002204962	0.036293446
TRINITY_DN130_c0_g1_i3	109	153	361	506	263.8677384	1.377717495	0.409467069	3.36466007	0.00076638	0.017984388
TRINITY_DN2145_c2_g1_i1	546	480	1014	1052	738.808244	0.658350318	0.204340855	3.221824236	0.001273772	0.024855062
TRINITY_DN330_c0_g1_i1	1745	1385	1300	1241	1429.361685	-0.65303278	0.197034694	-3.314303522	0.000918717	0.020137743
TRINITY_DN25229_c0_g1_i1	862	908	774	628	800.648756	-0.69320156	0.207616365	-3.338857988	0.000841236	0.019068007
TRINITY_DN2728_c0_g1_i2	4338	3636	3873	3393	3813.514256	-0.48833201	0.161853076	-3.017131471	0.002551791	0.040290021
TRINITY_DN7024_c0_g1_i9	21351	29106	18384	15690	21559.6355	-0.924281143	0.211456455	-4.371023545	1.24e-05	0.000813202
TRINITY_DN6608_c0_g1_i4	372	314	224	247	294.7355158	-0.892717745	0.295225829	-3.023847023	0.002495826	0.039615446
TRINITY_DN3114_c0_g1_i2	656	497	1862	1685	1096.872418	1.268183072	0.222614499	5.696767625	1.22e-08	2.92e-06
TRINITY_DN188_c0_g1_i3	335	229	940	949	570.7093034	1.393441265	0.28966637	4.81050412	1.51e-06	0.000147687
TRINITY_DN25272_c1_g1_i1	505	375	296	295	374.879603	-0.925481566	0.294701031	-3.140408309	0.001687125	0.030317588
TRINITY_DN22163_c20_g1_i1	50327	44081	41318	43616	44962.47288	-0.503525976	0.139845836	-3.600578965	0.000317509	0.009601251
TRINITY_DN25175_c3_g1_i1	18711	16298	13778	15977	16299.89779	-0.583752557	0.171160348	-3.410559538	0.000648297	0.016011937
TRINITY_DN150_c0_g1_i3	2451	2550	4917	4747	3511.296971	0.59662334	0.127134727	4.692843218	2.69e-06	0.000251921
TRINITY_DN2154_c0_g1_i8	465	346	271	232	336.1526586	-1.042934524	0.308134519	-3.384672791	0.000712631	0.016989589
TRINITY_DN3208_c0_g1_i1	505	450	1150	952	725.5133632	0.782567679	0.213167	3.671148342	0.000241463	0.008074154
TRINITY_DN11036_c5_g1_i1	75089	117373	61818	53334	79037.06239	-1.099609751	0.255977102	-4.295734816	1.74e-05	0.001096745
TRINITY_DN107_c0_g1_i9	355	514	981	1182	717.679485	0.963877728	0.31096593	3.099624861	0.001937659	0.03358915
TRINITY_DN560_c0_g1_i2	309	247	137	140	215.8344443	-1.356441051	0.334960459	-4.049555747	5.13e-05	0.002754237
TRINITY_DN3037_c1_g1_i2	567	587	1191	1039	809.5868482	0.594838331	0.189023117	3.146907847	0.00165007	0.030049975
TRINITY_DN675_c0_g2_i1	444	436	227	314	364.7603812	-1.049021699	0.324966579	-3.228091034	0.001246193	0.024530327
TRINITY_DN1495_c0_g1_i14	405	273	835	1121	618.7548797	1.183573585	0.339758204	3.483576174	0.000494762	0.013396641
TRINITY_DN248_c0_g1_i1	906	917	745	706	826.7071433	-0.683211615	0.1768956	-3.862230692	0.000112356	0.005132371
TRINITY_DN4001_c1_g1_i9	560	456	375	369	446.3987028	-0.801472099	0.25228427	-3.176861164	0.001488783	0.027667319
TRINITY_DN891_c0_g1_i1	14090	13781	27018	24051	18944.58284	0.518769052	0.110879814	4.678660904	2.89e-06	0.000265832
TRINITY_DN24198_c0_g1_i1	677	707	2977	1819	1429.545343	1.430741824	0.282563273	5.063438736	4.12e-07	4.74e-05
TRINITY_DN23909_c0_g1_i1	397	424	178	171	305.8107993	-1.588210182	0.270004192	-5.882168614	4.05e-09	1.06e-06
TRINITY_DN1202_c0_g1_i1	821	764	567	617	702.1174615	-0.771821743	0.208232505	-3.70653825	0.000210112	0.007616221
TRINITY_DN295_c0_g1_i2	1043	1071	1894	1828	1404.823722	0.462402046	0.15197608	3.042597529	0.002345458	0.038035828
TRINITY_DN2019_c0_g2_i1	308	259	163	182	233.9128486	-1.06679195	0.323940654	-3.293170946	0.000990642	0.02117144
TRINITY_DN1139_c0_g1_i1	1824	1714	3035	2919	2290.477477	0.3977094	0.134563897	2.955543124	0.003121191	0.04640658
TRINITY_DN1982_c0_g1_i14	1155	761	99	108	579.7324361	-3.559383727	0.327493085	-10.86857675	1.63e-27	4.87e-24
TRINITY_DN3345_c0_g1_i1	1170	1297	3231	2537	1947.780684	0.867297352	0.192783551	4.49881408	6.83e-06	0.000511135
TRINITY_DN1257_c0_g2_i3	92	338	1208	1027	608.7829409	2.0145575	0.603329446	3.339067095	0.000840603	0.019068007
TRINITY_DN26814_c0_g1_i1	1793	1464	1431	1296	1505.190149	-0.609634612	0.187471527	-3.251878424	0.00114645	0.023168261
TRINITY_DN3711_c0_g1_i1	896	806	719	674	779.9099235	-0.642441943	0.188413044	-3.409753001	0.000650217	0.016011937
TRINITY_DN20228_c0_g1_i1	5894	4141	3478	3308	4283.488321	-0.915915887	0.218385894	-4.194024947	2.74e-05	0.001623666
TRINITY_DN23860_c1_g1_i1	4220	3518	3458	3417	3664.543588	-0.522522625	0.159452566	-3.276978458	0.001049244	0.021953408
TRINITY_DN56_c0_g1_i14	2889	4188	8293	8877	5741.212703	0.92469245	0.241386872	3.830748713	0.000127754	0.005499852
TRINITY_DN515_c0_g1_i1	532	342	290	265	365.0331702	-1.006894239	0.344667032	-2.921353495	0.003485141	0.049440404
TRINITY_DN6753_c0_g1_i11	372	471	162	166	307.6121378	-1.715887071	0.311304297	-5.511928647	3.55e-08	6.44e-06
TRINITY_DN23881_c0_g1_i1	349	315	722	674	490.6375608	0.71850762	0.221009528	3.251025532	0.001149895	0.023168261
TRINITY_DN815_c0_g1_i1	404	352	897	857	594.6787095	0.861277965	0.212740723	4.048486595	5.15e-05	0.002754237
TRINITY_DN527_c0_g1_i1	247	383	905	739	535.1583719	1.024458431	0.334367091	3.063873385	0.002184914	0.036217515
TRINITY_DN26961_c0_g1_i1	8641	7621	6564	7644	7656.624217	-0.543984477	0.174292011	-3.121109655	0.001801709	0.031897718
TRINITY_DN3602_c0_g1_i2	145	171	411	520	292.7072138	1.209261174	0.337531409	3.582662656	0.00034011	0.010056479
TRINITY_DN2144_c0_g1_i1	317	462	1117	963	672.2869669	1.058940211	0.295021797	3.589362627	0.000331487	0.009868761
TRINITY_DN17201_c0_g1_i1	697	575	501	485	570.7820793	-0.719742986	0.229785085	-3.132244141	0.001734756	0.030987395
TRINITY_DN3463_c0_g1_i1	54	127	433	314	213.5294237	1.681336914	0.553516039	3.037557713	0.002385037	0.038365761
TRINITY_DN5595_c0_g1_i1	129	102	312	315	201.6901833	1.089168155	0.342231595	3.182547054	0.001459858	0.027384921
TRINITY_DN28078_c0_g1_i1	1714	1636	692	1100	1330.368217	-1.246749149	0.307392151	-4.055891295	4.99e-05	0.002744869
TRINITY_DN15787_c0_g1_i3	220	216	693	722	431.60428	1.346344889	0.237686283	5.664377734	1.48e-08	3.27e-06
TRINITY_DN2257_c0_g1_i3	218	189	677	610	394.8755691	1.306945539	0.250968654	5.20760468	1.91e-07	2.44e-05
