Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN6753_c0_g1_i10	4612	5037	1785	2139	3558.023073	-1.65574073	0.222779689	-7.432188884	1.07e-13	1.93e-10
TRINITY_DN2308_c0_g1_i2	0	0	109	99	45.45436416	8.78816553	1.914749582	4.589720562	4.44e-06	0.001414883
TRINITY_DN69_c0_g2_i3	40	51	0	0	25.45707441	-8.293850097	2.217341492	-3.740447795	0.000183693	0.025079252
TRINITY_DN464_c0_g1_i2	914	897	3103	2809	1797.91324	1.351853565	0.250743785	5.391374159	6.99e-08	4.6e-05
TRINITY_DN671_c0_g1_i11	0	12	158	118	63.54450087	5.200091619	1.435623934	3.622182311	0.000292128	0.03582778
TRINITY_DN1105_c0_g1_i6	0	0	106	103	45.71351791	8.796567807	1.912411247	4.599726037	4.23e-06	0.00139144
TRINITY_DN1689_c0_g1_i2	1137	1098	550	604	877.2566563	-1.308210624	0.312740816	-4.18305049	2.88e-05	0.006121304
TRINITY_DN325_c0_g1_i2	200	425	897	1284	654.6772928	1.523771631	0.362561183	4.202798597	2.64e-05	0.005926085
TRINITY_DN541_c0_g1_i1	22443	16013	16143	12165	16900.5625	-0.789266235	0.189640362	-4.161910614	3.16e-05	0.00652472
TRINITY_DN8565_c0_g1_i1	1400	800	3286	3068	2002.264983	1.230537404	0.296519406	4.149938855	3.33e-05	0.006684538
TRINITY_DN11721_c0_g1_i1	4937	3680	1776	2051	3243.63594	-1.512472808	0.268560869	-5.631769111	1.78e-08	1.62e-05
TRINITY_DN915_c0_g1_i2	541	130	47	30	203.1947663	-3.190284485	0.648118622	-4.92237744	8.55e-07	0.000412448
TRINITY_DN211_c0_g1_i2	10351	9816	24371	19945	15305.20095	0.775825297	0.192157978	4.037434755	5.4e-05	0.009571995
TRINITY_DN4749_c0_g1_i2	335	82	29	11	124.522718	-3.589235991	0.74032571	-4.848184982	1.25e-06	0.000563486
TRINITY_DN748_c0_g1_i1	5948	7436	5268	3221	5589.474244	-1.044123676	0.290168629	-3.598334106	0.000320262	0.037990427
TRINITY_DN4591_c0_g1_i2	45	155	0	14	59.31447441	-5.170659818	1.338471032	-3.863109244	0.000111953	0.01636548
TRINITY_DN792_c0_g1_i10	192	143	0	22	98.42586918	-5.583721255	1.33296291	-4.188954707	2.8e-05	0.006053234
TRINITY_DN340_c0_g1_i1	69	16	380	164	141.4021786	2.53105585	0.695126139	3.641146131	0.000271427	0.033573433
TRINITY_DN1591_c0_g1_i5	94	41	5	0	38.65282429	-5.81940982	1.590225958	-3.659486119	0.000252722	0.032366248
TRINITY_DN16408_c0_g1_i4	23	95	0	0	33.15885114	-8.369337014	2.074898654	-4.033612436	5.49e-05	0.009576956
TRINITY_DN7024_c0_g1_i9	21351	29106	18384	15690	21559.6355	-0.906969837	0.232199602	-3.905992211	9.38e-05	0.014447295
TRINITY_DN247_c0_g1_i3	121	151	27	13	84.75568185	-3.188582338	0.882546797	-3.612932875	0.000302753	0.036818847
TRINITY_DN3114_c0_g1_i2	656	497	1862	1685	1096.872418	1.279475617	0.297832223	4.295961008	1.74e-05	0.004416198
TRINITY_DN164_c0_g1_i8	968	1236	37	531	743.6988712	-3.275036121	0.685797513	-4.775514724	1.79e-06	0.000764213
TRINITY_DN7769_c0_g1_i1	95	167	0	0	73.39777905	-9.77433553	1.753908499	-5.572887946	2.51e-08	2.01e-05
TRINITY_DN188_c0_g1_i3	335	229	940	949	570.7093034	1.415043846	0.385545791	3.67023549	0.000242327	0.031588722
TRINITY_DN11036_c5_g1_i1	75089	117373	61818	53334	79037.06239	-1.062579445	0.249716691	-4.255139866	2.09e-05	0.00507099
TRINITY_DN1657_c0_g1_i9	25	0	186	233	98.87291065	5.108760352	1.334801091	3.827357039	0.000129527	0.018377534
TRINITY_DN24543_c0_g1_i1	22	20	281	175	110.8965633	3.050543016	0.751293043	4.060390339	4.9e-05	0.009089667
TRINITY_DN1055_c0_g2_i1	180	43	14	0	64.94450994	-5.258969633	1.292708096	-4.068180318	4.74e-05	0.0089053
TRINITY_DN24198_c0_g1_i1	677	707	2977	1819	1429.545343	1.397007151	0.311775562	4.480810306	7.44e-06	0.002241959
TRINITY_DN1982_c0_g1_i14	1155	761	99	108	579.7324361	-3.533600068	0.404910609	-8.726864614	2.62e-18	1.26e-14
TRINITY_DN1257_c0_g2_i3	92	338	1208	1027	608.7829409	2.292315598	0.537214031	4.267043427	1.98e-05	0.004942453
TRINITY_DN20228_c0_g1_i1	5894	4141	3478	3308	4283.488321	-0.895992362	0.239540424	-3.740464119	0.000183681	0.025079252
TRINITY_DN56_c0_g1_i14	2889	4188	8293	8877	5741.212703	0.949036184	0.223106894	4.253728645	2.1e-05	0.00507099
TRINITY_DN9448_c0_g1_i1	3416	1380	2492	377	1950.50941	-1.510023385	0.370064156	-4.080436756	4.5e-05	0.008673776
TRINITY_DN6753_c0_g1_i11	372	471	162	166	307.6121378	-1.705448596	0.462332079	-3.688795723	0.000225318	0.02991562
TRINITY_DN394_c0_g1_i7	618	721	35	318	453.3014541	-2.976597777	0.679848987	-4.378322	1.2e-05	0.003205188
TRINITY_DN2973_c0_g1_i15	48	63	0	0	31.05610802	-8.577868212	2.098946132	-4.086750051	4.37e-05	0.008586439
TRINITY_DN28078_c0_g1_i1	1714	1636	692	1100	1330.368217	-1.29291457	0.322704786	-4.006493323	6.16e-05	0.010413153
TRINITY_DN6753_c0_g1_i4	1355	2224	36	363	1091.530319	-4.22774891	0.556976774	-7.590529991	3.19e-14	9.22e-11
TRINITY_DN1946_c0_g1_i2	0	0	107	104	46.15113331	8.810310783	1.908520772	4.616303325	3.91e-06	0.001347222
TRINITY_DN1167_c0_g1_i3	118	158	590	520	319.7006333	1.665750344	0.470360533	3.541433067	0.00039796	0.046074195
TRINITY_DN23958_c0_g1_i1	3367	2827	2045	1731	2553.851197	-1.066856515	0.231203143	-4.614368568	3.94e-06	0.001347222
TRINITY_DN325_c0_g1_i14	552	297	1755	1194	878.6162499	1.482934387	0.321591958	4.611229697	4e-06	0.001347222
TRINITY_DN2196_c0_g1_i1	271	128	28	27	123.1560254	-3.116439155	0.742508127	-4.197178511	2.7e-05	0.005926085
TRINITY_DN790_c0_g1_i2	291	77	16	0	105.6908106	-5.734916825	1.11645435	-5.136723077	2.8e-07	0.000161838
TRINITY_DN5910_c0_g1_i1	457	95	41	15	165.4210251	-3.450712652	0.663542454	-5.200439901	1.99e-07	0.000119887
TRINITY_DN3027_c0_g1_i33	0	0	111	157	58.90559454	9.1348814	1.819263871	5.021196511	5.14e-07	0.000256257
TRINITY_DN6703_c0_g1_i8	65	35	0	0	27.86649776	-8.378304659	2.163095269	-3.873294338	0.000107374	0.016019761
TRINITY_DN3233_c0_g1_i25	1183	303	392	77	513.7840222	-2.130893353	0.38793334	-5.492936886	3.95e-08	2.86e-05
TRINITY_DN27740_c0_g1_i1	206	62	12	9	79.09621591	-3.814027133	0.937067397	-4.070173762	4.7e-05	0.0089053
TRINITY_DN3036_c0_g1_i2	258	272	999	1161	621.6959901	1.670241281	0.350992758	4.758620352	1.95e-06	0.000805299
TRINITY_DN1434_c0_g1_i1	1215	1002	2821	3121	1920.848156	1.073654213	0.269660744	3.981499846	6.85e-05	0.011135597
TRINITY_DN1153_c0_g2_i3	89	17	0	0	29.43503672	-8.122325725	2.146586	-3.783834296	0.000154431	0.02148962
TRINITY_DN3395_c0_g1_i2	3881	2800	9654	6473	5374.514101	0.908606365	0.20535772	4.424505527	9.67e-06	0.002690218
TRINITY_DN2856_c0_g1_i6	0	0	60	85	31.87120941	8.249422736	2.084058335	3.958345406	7.55e-05	0.012135699
TRINITY_DN285_c0_g1_i4	0	0	94	76	37.09356182	8.49098468	2.005647451	4.233537991	2.3e-05	0.005369656
TRINITY_DN1639_c0_g1_i1	550	620	2171	2115	1264.608457	1.522184847	0.278551613	5.464642008	4.64e-08	3.2e-05
TRINITY_DN5806_c0_g1_i1	775	583	7020	5064	3011.779744	2.795684206	0.226239958	12.35716376	4.46e-35	6.45e-31
TRINITY_DN391_c0_g1_i4	988	716	498	433	678.7960063	-1.210749013	0.343558465	-3.52414257	0.000424856	0.0481251
TRINITY_DN29387_c0_g1_i1	533	449	150	110	330.8504201	-2.281953512	0.448864662	-5.083834184	3.7e-07	0.000198262
TRINITY_DN3873_c0_g1_i8	11957	11321	9456	5866	9834.977585	-0.996665036	0.231643717	-4.302577466	1.69e-05	0.004362859
TRINITY_DN1090_c3_g1_i1	13647	8373	7483	6242	9135.613473	-0.998796165	0.225279596	-4.43358468	9.27e-06	0.002636459
TRINITY_DN2950_c0_g1_i2	214	137	0	30	104.6213772	-5.400742322	1.366965256	-3.950899484	7.79e-05	0.012247405
TRINITY_DN114_c0_g1_i9	34066	10214	14416	5775	16680.23138	-1.385400318	0.216484869	-6.399524955	1.56e-10	2.51e-07
TRINITY_DN5008_c0_g1_i1	93	193	0	0	80.1763224	-9.864262335	1.731681101	-5.696350403	1.22e-08	1.36e-05
TRINITY_DN2447_c1_g1_i11	130	222	526	874	406.935131	1.643574427	0.410422902	4.004587509	6.21e-05	0.010413153
TRINITY_DN1509_c0_g1_i3	19	34	257	201	114.7399197	2.796921152	0.767549588	3.643961507	0.000268474	0.033573433
TRINITY_DN1116_c0_g1_i5	616	819	1864	1921	1230.030168	1.059950571	0.288758326	3.670718642	0.000241869	0.031588722
TRINITY_DN2217_c0_g1_i5	0	0	129	90	47.69410089	8.841849196	1.895769502	4.663989577	3.1e-06	0.001150847
TRINITY_DN2217_c0_g1_i4	84	77	0	0	44.97134306	-9.125644274	1.91993605	-4.753098038	2e-06	0.000805299
TRINITY_DN2402_c0_g1_i6	39	82	0	0	33.92253337	-8.623999179	2.053964507	-4.198708959	2.68e-05	0.005926085
TRINITY_DN1683_c0_g1_i3	122	100	592	424	283.3187157	1.828502228	0.478210577	3.823634011	0.000131499	0.018476257
TRINITY_DN726_c0_g1_i2	121	51	802	572	347.1991477	2.744303533	0.481028942	5.705069473	1.16e-08	1.36e-05
TRINITY_DN2135_c0_g1_i3	94	23	0	0	32.51141712	-8.364279478	2.085873317	-4.009965231	6.07e-05	0.010413153
TRINITY_DN4784_c0_g1_i1	3034	2874	1975	2050	2531.635315	-0.906700943	0.235230249	-3.85452529	0.000115954	0.016614773
TRINITY_DN199_c0_g1_i3	92	309	339	1664	558.5214189	1.812112075	0.392515107	4.616668356	3.9e-06	0.001347222
TRINITY_DN4820_c0_g1_i1	2553	2949	1407	512	1953.214882	-2.043149816	0.400298522	-5.104065356	3.32e-07	0.000185038
TRINITY_DN1167_c0_g1_i7	411	222	19	11	182.9153681	-4.742255094	0.636477193	-7.450785588	9.28e-14	1.92e-10
TRINITY_DN8565_c0_g1_i4	1119	473	3678	2432	1772.934725	1.683410198	0.296393306	5.67964986	1.35e-08	1.4e-05
TRINITY_DN1_c0_g1_i3	1764	1822	1288	1119	1527.9064	-0.931740495	0.264425016	-3.523647311	0.00042565	0.0481251
TRINITY_DN2308_c0_g1_i1	40	69	0	0	30.5332617	-8.514909266	2.109436472	-4.036580092	5.42e-05	0.009571995
TRINITY_DN56_c0_g1_i16	3180	5221	12718	12371	7840.4689	1.268524327	0.251271187	5.048427336	4.45e-07	0.00023024
TRINITY_DN6753_c0_g1_i9	945	1577	8	80	726.0365704	-5.773975994	0.588519598	-9.81101736	1.01e-22	7.3e-19
TRINITY_DN737_c0_g1_i4	901	1234	2802	4398	2182.069271	1.382335185	0.246410693	5.609883107	2.02e-08	1.72e-05
TRINITY_DN190_c0_g1_i1	750	274	2082	1866	1147.526378	1.761956705	0.397459394	4.433048338	9.29e-06	0.002636459
TRINITY_DN8743_c0_g1_i3	2	0	204	318	115.4284104	7.71317886	1.369819787	5.630798248	1.79e-08	1.62e-05
TRINITY_DN2925_c0_g1_i6	0	0	98	50	32.10688077	8.2240842	2.081338822	3.951343295	7.77e-05	0.012247405
TRINITY_DN1052_c2_g2_i1	1027	394	119	97	442.5866713	-2.923806256	0.472533126	-6.187515959	6.11e-10	8.04e-07
TRINITY_DN226_c0_g1_i6	0	0	92	141	51.26461625	8.922646652	1.868544468	4.775185608	1.8e-06	0.000764213
TRINITY_DN169_c0_g1_i16	451	370	68	0	243.696321	-5.940034256	1.256388934	-4.727862602	2.27e-06	0.000864114
TRINITY_DN3728_c0_g1_i3	48	36	0	0	23.44182708	-8.175187212	2.271739235	-3.598646837	0.000319877	0.037990427
TRINITY_DN7206_c0_g1_i4	64	150	0	9	62.04197355	-5.736701101	1.329624011	-4.314528809	1.6e-05	0.004208554
TRINITY_DN65_c0_g1_i1	382	396	1268	1130	741.3434816	1.268534305	0.328800828	3.85806299	0.000114289	0.016539933
TRINITY_DN2157_c0_g1_i2	484	389	160	134	307.8836336	-1.920764622	0.459796548	-4.177422885	2.95e-05	0.006183751
TRINITY_DN404_c0_g1_i3	0	0	216	145	78.58035503	9.557423816	1.734371612	5.510597468	3.58e-08	2.72e-05
TRINITY_DN1016_c0_g1_i1	244	219	80	51	157.8116562	-2.206695212	0.627309376	-3.51771438	0.000435281	0.048832409
TRINITY_DN15_c0_g1_i5	2222	3471	1383	2461	2441.359109	-0.942868657	0.239923975	-3.929864266	8.5e-05	0.013226136
TRINITY_DN3015_c0_g1_i13	75	176	0	35	78.25860057	-4.760362239	1.319826783	-3.606808334	0.000309986	0.037384367
TRINITY_DN3438_c0_g1_i3	768	1022	487	437	702.7360016	-1.294832991	0.353009166	-3.667986881	0.000244468	0.031588722
TRINITY_DN26764_c0_g1_i12	54820	42414	37216	34373	42786.68962	-0.784336359	0.195947405	-4.002790243	6.26e-05	0.010413153
TRINITY_DN103_c59_g1_i1	887198	415529	579210	368929	569064.4397	-0.746692849	0.211482432	-3.530755924	0.000414374	0.047593806
TRINITY_DN15_c0_g1_i1	29345	40309	26178	21277	29847.39092	-0.896583348	0.240157665	-3.733311399	0.000188979	0.025559813
TRINITY_DN15161_c0_g1_i1	1493	852	683	568	926.6958137	-1.211033625	0.331575575	-3.652360781	0.00025984	0.032986064
TRINITY_DN4377_c0_g1_i1	1305	661	3992	2952	2061.122258	1.531172169	0.28784542	5.319425167	1.04e-07	6.55e-05
TRINITY_DN3519_c0_g1_i9	300	203	877	797	506.1301806	1.405727961	0.395295835	3.556141596	0.000376341	0.043922671
TRINITY_DN2764_c0_g1_i3	153	160	47	0	97.49486154	-4.955972597	1.381773018	-3.586676345	0.00033492	0.03940615
