Trinity_ID	uninfected_cold	infected_cold	uninfected_warm	infected_warm	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN2973_c0_g1_i10	0	0	96	94	41.56193535	8.659133178	1.952968919	4.433830509	9.26e-06	0.002636459
TRINITY_DN3830_c0_g1_i1	40	77	0	0	32.78934494	-8.595489273	2.071158267	-4.150088098	3.32e-05	0.006684538
TRINITY_DN1020_c0_g1_i1	208	377	920	1019	588.744287	1.434020244	0.393735596	3.642089409	0.000270434	0.033573433
TRINITY_DN2313_c0_g2_i6	1475	483	237	83	613.7156767	-2.945315812	0.359645047	-8.189507508	2.62e-16	9.49e-13
TRINITY_DN155_c0_g1_i1	1762	1449	6788	6412	3782.561195	1.692277123	0.22393157	7.557117211	4.12e-14	9.94e-11
TRINITY_DN9354_c0_g1_i1	13290	9663	5720	7509	9309.502052	-1.143308082	0.272386395	-4.197375875	2.7e-05	0.005926085
TRINITY_DN2324_c0_g1_i2	0	0	30	103	29.52217569	7.909719763	2.134881934	3.704991661	0.000211398	0.02832729
TRINITY_DN155_c0_g1_i2	5580	5048	3425	3838	4560.068112	-0.903035161	0.225935636	-3.996869093	6.42e-05	0.010555642
TRINITY_DN1601_c0_g1_i9	62	111	0	0	48.46869777	-9.173000767	1.891231922	-4.850278096	1.23e-06	0.000563486
TRINITY_DN1405_c0_g2_i3	45	24	269	288	141.2125105	2.71879341	0.69869525	3.891243583	9.97e-05	0.01519282
TRINITY_DN792_c0_g1_i11	302	165	38	31	145.2019073	-3.05795947	0.666662357	-4.586968854	4.5e-06	0.001414883
TRINITY_DN3151_c0_g1_i1	0	0	69	120	41.64860494	8.600598341	1.953627128	4.402374545	1.07e-05	0.002923685
TRINITY_DN176_c0_g1_i5	153	283	921	820	502.5311424	1.705198846	0.438583749	3.887966327	0.000101088	0.015238963
TRINITY_DN6305_c0_g1_i4	9205	7904	6477	6160	7540.785413	-0.786703044	0.203254886	-3.870524638	0.000108601	0.016037543
TRINITY_DN325_c0_g1_i10	907	708	2635	2281	1524.396936	1.259670341	0.266193669	4.732157404	2.22e-06	0.000864114
TRINITY_DN1685_c0_g1_i2	174	103	624	697	366.687059	1.943248751	0.480420922	4.044887853	5.23e-05	0.009469785
TRINITY_DN1509_c0_g1_i2	342	668	3542	1768	1434.714338	2.032398805	0.452720606	4.489300415	7.15e-06	0.002200282
TRINITY_DN14186_c0_g1_i1	11279	9649	7752	7418	9161.250581	-0.813500936	0.200918795	-4.048904122	5.15e-05	0.009426588
TRINITY_DN1631_c0_g1_i2	269	258	1115	857	577.2367331	1.538578277	0.363079574	4.23757872	2.26e-05	0.00536041
TRINITY_DN1249_c0_g1_i5	926	713	2144	1949	1351.905092	0.977335824	0.278334912	3.511366282	0.00044581	0.049628905
TRINITY_DN1672_c0_g1_i1	2298	2941	1691	1050	2061.682496	-1.316865366	0.322294613	-4.085905603	4.39e-05	0.008586439
TRINITY_DN915_c0_g1_i1	418	151	34	9	167.5771913	-4.177518091	0.654845815	-6.379391904	1.78e-10	2.57e-07
