Day	Dead	Temperature
0	0	decreased
0	0	ambient
0	0	elevated
1	0	decreased
1	0	ambient
1	0	elevated
2	1	decreased
2	1	ambient
2	0	elevated
3	0	decreased
3	0	ambient
3	2	elevated
4	0	decreased
4	0	ambient
4	27	elevated
5	0	decreased
5	0	ambient
5	11	elevated
6	0	decreased
6	0	ambient
6	3	elevated
7	0	decreased
7	0	ambient
7	3	elevated
8	0	decreased
8	2	ambient
8	7	elevated
9	0	decreased
9	0	ambient
9	3	elevated
10	0	decreased
10	0	ambient
10	0	elevated
11	0	decreased
11	0	ambient
11	0	elevated
12	0	decreased
12	0	ambient
12	0	elevated
13	0	decreased
13	0	ambient
13	0	elevated
14	0	decreased
14	0	ambient
14	0	elevated
15	0	decreased
15	0	ambient
15	0	elevated
16	0	decreased
16	0	ambient
16	0	elevated
17	0	decreased
17	0	ambient
17	0	elevated
