baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN1003_c0_g1_i4	26.8882134568838	-8.09974281412378	1.91672610535906	-4.22582172355108	2.38070419653644e-05	0.000871816536776332
TRINITY_DN10053_c0_g1_i1	40.4439824495947	-8.68893662820238	1.79134870282804	-4.85049985772451	1.23150722246106e-06	6.06957131070095e-05
TRINITY_DN10053_c0_g2_i1	70.8986490301874	-5.86761413479634	1.16975771247483	-5.01609356554902	5.27326555875428e-07	2.88052131146953e-05
TRINITY_DN10062_c0_g1_i1	24.4740432777013	-7.96474906479313	1.99494461398612	-3.99246626144606	6.53896388558004e-05	0.00220563850445851
TRINITY_DN10074_c0_g1_i1	33.5852853251282	-8.42118008136092	1.868967555325	-4.50579254699611	6.61256669249255e-06	0.000276672604272055
TRINITY_DN10074_c0_g2_i1	43.4675633137541	-8.79336119024445	1.81059587823731	-4.85661173536147	1.19411411441696e-06	5.91492545592181e-05
TRINITY_DN10077_c0_g1_i4	695.545759737821	-2.58362409520007	0.713085244677658	-3.62316302922235	0.000291022263842215	0.00876409313699412
TRINITY_DN10183_c0_g1_i1	102.262346453122	-10.0272683935386	1.63477143189965	-6.13374334654638	8.5834956453814e-10	1.18869325258046e-07
TRINITY_DN10190_c0_g1_i1	93.2892021041058	-8.47511023086748	1.55198928834514	-5.46080459092881	4.73981529537378e-08	3.49095384957024e-06
TRINITY_DN102_c0_g1_i5	134.006154507706	-10.4172303608162	1.60590934849267	-6.48681095890874	8.76722273867732e-11	1.8341216505967e-08
TRINITY_DN10227_c0_g1_i1	253.519650905049	-9.91501956211411	1.48016297938546	-6.6985998840686	2.10425872093959e-11	5.59192537125366e-09
TRINITY_DN10249_c0_g1_i1	69.7254288376927	-7.10870192767682	1.31780952992862	-5.39433185618402	6.87789989884733e-08	4.79623764222811e-06
TRINITY_DN10256_c0_g1_i1	115.291102611832	-7.82717282252531	1.25239893712246	-6.24974406358822	4.11125825092017e-10	6.41649948447184e-08
TRINITY_DN10257_c0_g1_i1	22.880872031671	-7.86718125765484	1.98963358890722	-3.95408546654852	7.68279454313719e-05	0.00255206342383096
TRINITY_DN10274_c0_g1_i1	26.0910596480292	-8.05544358699401	1.96045464463483	-4.10896707508093	3.97432726904245e-05	0.00139313985286488
TRINITY_DN10285_c0_g1_i1	16.1671458327756	-7.36576225627026	2.15619260155635	-3.41609661908385	0.000635257031452436	0.0180004748177409
TRINITY_DN103_c60_g1_i1	5127.77999570767	1.28898132863529	0.356620899906272	3.61443013848618	0.000301008966218827	0.00902338615959335
TRINITY_DN1034_c0_g1_i12	17.1853514268101	-7.45257365743157	2.21244294584366	-3.36848173709162	0.0007558340428171	0.0212032474350903
TRINITY_DN1035_c0_g1_i1	105.289829003397	2.4117956608815	0.695558593975102	3.46742270424428	0.000525474844641576	0.0151295209661443
TRINITY_DN10440_c0_g1_i1	185.053454820397	-4.95981236345943	1.24335312583971	-3.98906172380413	6.63351606458987e-05	0.00222988193863521
