Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN3409_c0_g1_i1	63.7131608	8.344449682	2.387571254	3.494953153	0.000474145	0.038571318
TRINITY_DN2313_c0_g2_i6	99.68389411	-5.045873831	1.363284658	-3.701262097	0.00021453	0.029712369
TRINITY_DN8225_c0_g1_i1	32.63748222	7.909504596	2.368427354	3.339559722	0.000839113	0.048172646
TRINITY_DN1142_c0_g1_i1	97.14860118	-8.917549139	2.548055878	-3.499746303	0.000465701	0.038571318
TRINITY_DN1793_c1_g1_i5	86.27875942	7.148545013	2.14375439	3.334591428	0.000854248	0.048172646
TRINITY_DN8127_c0_g1_i7	67.04734422	9.287081892	2.608398514	3.560453605	0.000370215	0.037608899
TRINITY_DN285_c0_g1_i5	11.26977198	5.859076684	1.728862972	3.388976904	0.000701539	0.046235402
TRINITY_DN2417_c0_g1_i4	32.00806119	7.533205961	2.073012719	3.633941024	0.000279125	0.034516759
TRINITY_DN4338_c0_g1_i7	48.84328668	8.941458823	2.618609973	3.414582131	0.000638799	0.043798864
TRINITY_DN2641_c0_g1_i1	122.3123042	10.31433409	2.937642385	3.511092481	0.000446269	0.038571318
TRINITY_DN1703_c0_g1_i4	199.0299416	9.17901867	2.729938037	3.362354217	0.000772809	0.04736021
TRINITY_DN2670_c1_g1_i14	71.68141953	9.73012663	2.63639492	3.690693893	0.000223643	0.03036723
TRINITY_DN9832_c0_g2_i2	67.71193036	9.325320875	2.198575967	4.241527705	2.22E-05	0.008540967
TRINITY_DN7822_c0_g1_i2	79.54505387	9.090794765	2.691384047	3.377739708	0.000730842	0.04643195
TRINITY_DN8507_c0_g1_i1	38.76045235	8.509531313	2.319543038	3.668624023	0.000243859	0.03186276
TRINITY_DN11908_c0_g1_i3	104.8626369	7.228707062	1.830731454	3.948534913	7.86E-05	0.017002077
TRINITY_DN2658_c0_g1_i1	106.0685466	-8.211860733	2.388118416	-3.438632137	0.000584661	0.041756563
